"role","permission","action","expected","current_status","test_id"
"ADMIN","patients:write","CREATE_UPDATE","ALLOW","PASS","tests/ch01-parity.test.mjs; tests/e2e/ch01.spec.mjs"
"DOCTOR","patients:write","CREATE_UPDATE","DENY","PASS","tests/ch01-parity.test.mjs; tests/e2e/ch01.spec.mjs"
"NURSE","patients:write","CREATE_UPDATE","DENY","PASS","tests/ch01-parity.test.mjs; tests/e2e/ch01.spec.mjs"
"INVENTORY","patients:write","CREATE_UPDATE","DENY","PASS","tests/ch01-parity.test.mjs; tests/e2e/ch01.spec.mjs"
"FINANCE","patients:write","CREATE_UPDATE","DENY","PASS","tests/ch01-parity.test.mjs; tests/e2e/ch01.spec.mjs"
"AUDITOR","patients:write","CREATE_UPDATE","DENY","PASS","tests/ch01-parity.test.mjs; tests/e2e/ch01.spec.mjs"
"ADMIN","dashboard:read","READ","ALLOW","NOT_FULLY_TESTED","NONE"
"DOCTOR","dashboard:read","READ","ALLOW","NOT_FULLY_TESTED","NONE"
"NURSE","dashboard:read","READ","ALLOW","NOT_FULLY_TESTED","NONE"
"INVENTORY","dashboard:read","READ","ALLOW","NOT_FULLY_TESTED","NONE"
"FINANCE","dashboard:read","READ","ALLOW","NOT_FULLY_TESTED","NONE"
"AUDITOR","dashboard:read","READ","ALLOW","PASS","tests/ch01-parity.test.mjs; tests/e2e/ch01.spec.mjs"
"ADMIN","doctors:write","CREATE_UPDATE","ALLOW","NOT_FULLY_TESTED","NONE"
"AUDITOR","doctors:write","CREATE_UPDATE","DENY","PASS","tests/ch01-parity.test.mjs; tests/e2e/ch01.spec.mjs"
