id,time_seconds,timestamp,time_slug,kind,source_frame,analysis_frame,analysis_bbox_xyxy,state_changed_area_ratio,state_mean_absdiff,motion_changed_area_ratio,motion_mean_absdiff,full_image,detail_crop,detail_bbox_xyxy,source_chunk,source_full_image,source_detail_crop,global_event_id
E00001,0.0,00:00:00.000,00h00m00s000ms,video_start,0,0,,1,255,0,0,event_frames_full/E00001_00h00m00s000ms_video_start.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00001_00h00m00s000ms_video_start.jpg,,GE00001
E00002,5.6,00:00:05.600,00h00m05s600ms,abrupt_change,140,28,"55,2,320,126",0.219219,8.8025,0.221496,8.5109,event_frames_full/E00002_00h00m05s600ms_abrupt_change.jpg,event_crops/E00002_00h00m05s600ms_abrupt_change_DETAIL.jpg,"280,0,1920,787",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00002_00h00m05s600ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00002_00h00m05s600ms_abrupt_change_DETAIL.jpg,GE00002
E00003,6.2,00:00:06.200,00h00m06s200ms,stable_change,155,31,"78,13,193,128",0.017165,1.3139,0.000737,0.2447,event_frames_full/E00003_00h00m06s200ms_stable_change.jpg,event_crops/E00003_00h00m06s200ms_stable_change_DETAIL.jpg,"418,48,1208,799",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00003_00h00m06s200ms_stable_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00003_00h00m06s200ms_stable_change_DETAIL.jpg,GE00003
E00004,24.8,00:00:24.800,00h00m24s800ms,abrupt_change,620,124,"0,0,320,140",1.0,235.5472,1.0,235.7996,event_frames_full/E00004_00h00m24s800ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00004_00h00m24s800ms_abrupt_change.jpg,,GE00004
E00005,25.4,00:00:25.400,00h00m25s400ms,stable_change,635,127,"0,25,320,115",0.630446,18.6682,0.0,0.0,event_frames_full/E00005_00h00m25s400ms_stable_change.jpg,event_crops/E00005_00h00m25s400ms_stable_change_DETAIL.jpg,"0,120,1920,721",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00005_00h00m25s400ms_stable_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00005_00h00m25s400ms_stable_change_DETAIL.jpg,GE00005
E00006,36.8,00:00:36.800,00h00m36s800ms,abrupt_change,920,184,"0,0,320,140",0.718326,95.8571,0.718326,95.8571,event_frames_full/E00006_00h00m36s800ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00006_00h00m36s800ms_abrupt_change.jpg,,GE00006
E00007,42.6,00:00:42.600,00h00m42s600ms,abrupt_change,1065,213,"23,0,296,140",0.853125,107.7587,0.853549,108.0795,event_frames_full/E00007_00h00m42s600ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00007_00h00m42s600ms_abrupt_change.jpg,,GE00007
E00008,43.2,00:00:43.200,00h00m43s200ms,stable_change,1080,216,"0,25,320,115",0.630446,18.6682,0.0,0.0,event_frames_full/E00008_00h00m43s200ms_stable_change.jpg,event_crops/E00008_00h00m43s200ms_stable_change_DETAIL.jpg,"0,120,1920,721",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00008_00h00m43s200ms_stable_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00008_00h00m43s200ms_stable_change_DETAIL.jpg,GE00008
E00009,56.2,00:00:56.200,00h00m56s200ms,abrupt_change,1405,281,"0,0,320,140",1.0,223.7386,1.0,223.7386,event_frames_full/E00009_00h00m56s200ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00009_00h00m56s200ms_abrupt_change.jpg,,GE00009
E00010,84.2,00:01:24.200,00h01m24s200ms,abrupt_change,2105,421,"0,0,320,140",0.192656,11.9871,0.192902,12.0254,event_frames_full/E00010_00h01m24s200ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00010_00h01m24s200ms_abrupt_change.jpg,,GE00010
