id,time_seconds,timestamp,time_slug,kind,source_frame,analysis_frame,analysis_bbox_xyxy,state_changed_area_ratio,state_mean_absdiff,motion_changed_area_ratio,motion_mean_absdiff,full_image,detail_crop,detail_bbox_xyxy,source_chunk,source_full_image,source_detail_crop,global_event_id,chapter_id,chapter_event_id,chapter_full_image,chapter_detail_crop
E00001,0.0,00:00:00.000,00h00m00s000ms,video_start,0,0,,1,255,0,0,event_frames_full/E00001_00h00m00s000ms_video_start.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00001_00h00m00s000ms_video_start.jpg,,GE00001,CH01,CH01-E0001,event_frames/CH01-E0001_00h00m00s000ms_video_start.jpg,
E00002,5.6,00:00:05.600,00h00m05s600ms,abrupt_change,140,28,"55,2,320,126",0.219219,8.8025,0.221496,8.5109,event_frames_full/E00002_00h00m05s600ms_abrupt_change.jpg,event_crops/E00002_00h00m05s600ms_abrupt_change_DETAIL.jpg,"280,0,1920,787",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00002_00h00m05s600ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00002_00h00m05s600ms_abrupt_change_DETAIL.jpg,GE00002,CH01,CH01-E0002,event_frames/CH01-E0002_00h00m05s600ms_abrupt_change.jpg,detail_crops/CH01-E0002_00h00m05s600ms_DETAIL.jpg
E00003,6.2,00:00:06.200,00h00m06s200ms,stable_change,155,31,"78,13,193,128",0.017165,1.3139,0.000737,0.2447,event_frames_full/E00003_00h00m06s200ms_stable_change.jpg,event_crops/E00003_00h00m06s200ms_stable_change_DETAIL.jpg,"418,48,1208,799",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00003_00h00m06s200ms_stable_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00003_00h00m06s200ms_stable_change_DETAIL.jpg,GE00003,CH01,CH01-E0003,event_frames/CH01-E0003_00h00m06s200ms_stable_change.jpg,detail_crops/CH01-E0003_00h00m06s200ms_DETAIL.jpg
E00004,24.8,00:00:24.800,00h00m24s800ms,abrupt_change,620,124,"0,0,320,140",1.0,235.5472,1.0,235.7996,event_frames_full/E00004_00h00m24s800ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00004_00h00m24s800ms_abrupt_change.jpg,,GE00004,CH01,CH01-E0004,event_frames/CH01-E0004_00h00m24s800ms_abrupt_change.jpg,
E00005,25.4,00:00:25.400,00h00m25s400ms,stable_change,635,127,"0,25,320,115",0.630446,18.6682,0.0,0.0,event_frames_full/E00005_00h00m25s400ms_stable_change.jpg,event_crops/E00005_00h00m25s400ms_stable_change_DETAIL.jpg,"0,120,1920,721",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00005_00h00m25s400ms_stable_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00005_00h00m25s400ms_stable_change_DETAIL.jpg,GE00005,CH01,CH01-E0005,event_frames/CH01-E0005_00h00m25s400ms_stable_change.jpg,detail_crops/CH01-E0005_00h00m25s400ms_DETAIL.jpg
E00006,36.8,00:00:36.800,00h00m36s800ms,abrupt_change,920,184,"0,0,320,140",0.718326,95.8571,0.718326,95.8571,event_frames_full/E00006_00h00m36s800ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00006_00h00m36s800ms_abrupt_change.jpg,,GE00006,CH01,CH01-E0006,event_frames/CH01-E0006_00h00m36s800ms_abrupt_change.jpg,
E00007,42.6,00:00:42.600,00h00m42s600ms,abrupt_change,1065,213,"23,0,296,140",0.853125,107.7587,0.853549,108.0795,event_frames_full/E00007_00h00m42s600ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00007_00h00m42s600ms_abrupt_change.jpg,,GE00007,CH01,CH01-E0007,event_frames/CH01-E0007_00h00m42s600ms_abrupt_change.jpg,
E00008,43.2,00:00:43.200,00h00m43s200ms,stable_change,1080,216,"0,25,320,115",0.630446,18.6682,0.0,0.0,event_frames_full/E00008_00h00m43s200ms_stable_change.jpg,event_crops/E00008_00h00m43s200ms_stable_change_DETAIL.jpg,"0,120,1920,721",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00008_00h00m43s200ms_stable_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00008_00h00m43s200ms_stable_change_DETAIL.jpg,GE00008,CH01,CH01-E0008,event_frames/CH01-E0008_00h00m43s200ms_stable_change.jpg,detail_crops/CH01-E0008_00h00m43s200ms_DETAIL.jpg
E00009,56.2,00:00:56.200,00h00m56s200ms,abrupt_change,1405,281,"0,0,320,140",1.0,223.7386,1.0,223.7386,event_frames_full/E00009_00h00m56s200ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00009_00h00m56s200ms_abrupt_change.jpg,,GE00009,CH01,CH01-E0009,event_frames/CH01-E0009_00h00m56s200ms_abrupt_change.jpg,
E00010,84.2,00:01:24.200,00h01m24s200ms,abrupt_change,2105,421,"0,0,320,140",0.192656,11.9871,0.192902,12.0254,event_frames_full/E00010_00h01m24s200ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00010_00h01m24s200ms_abrupt_change.jpg,,GE00010,CH01,CH01-E0010,event_frames/CH01-E0010_00h01m24s200ms_abrupt_change.jpg,
E00011,84.6,00:01:24.600,00h01m24s600ms,abrupt_change,2115,423,"2,2,306,121",0.082969,6.665,0.0725,6.3542,event_frames_full/E00011_00h01m24s600ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00011_00h01m24s600ms_abrupt_change.jpg,,GE00011,CH01,CH01-E0011,event_frames/CH01-E0011_00h01m24s600ms_abrupt_change.jpg,
E00012,85.0,00:01:25.000,00h01m25s000ms,abrupt_change,2125,425,"0,0,320,140",0.136272,9.1489,0.119844,8.0203,event_frames_full/E00012_00h01m25s000ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00012_00h01m25s000ms_abrupt_change.jpg,,GE00012,CH01,CH01-E0012,event_frames/CH01-E0012_00h01m25s000ms_abrupt_change.jpg,
E00013,86.8,00:01:26.800,00h01m26s800ms,settled,2170,434,"0,24,14,36",0.003705,0.807,0.002478,0.2048,event_frames_full/E00013_00h01m26s800ms_settled.jpg,event_crops/E00013_00h01m26s800ms_settled_DETAIL.jpg,"0,114,134,246",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00013_00h01m26s800ms_settled.jpg,event_chunks_5fps/chunk_01/event_crops/E00013_00h01m26s800ms_settled_DETAIL.jpg,GE00013,CH01,CH01-E0013,event_frames/CH01-E0013_00h01m26s800ms_settled.jpg,detail_crops/CH01-E0013_00h01m26s800ms_DETAIL.jpg
E00014,88.8,00:01:28.800,00h01m28s800ms,abrupt_change,2220,444,"0,3,320,140",0.091295,5.0506,0.09125,5.042,event_frames_full/E00014_00h01m28s800ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00014_00h01m28s800ms_abrupt_change.jpg,,GE00014,CH01,CH01-E0014,event_frames/CH01-E0014_00h01m28s800ms_abrupt_change.jpg,
E00015,89.2,00:01:29.200,00h01m29s200ms,abrupt_change,2230,446,"0,3,320,140",0.226652,12.5786,0.226652,12.5786,event_frames_full/E00015_00h01m29s200ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00015_00h01m29s200ms_abrupt_change.jpg,,GE00015,CH01,CH01-E0015,event_frames/CH01-E0015_00h01m29s200ms_abrupt_change.jpg,
E00016,90.2,00:01:30.200,00h01m30s200ms,motion_progress,2255,451,"0,41,193,90",0.02442,1.4254,0.025915,1.2226,event_frames_full/E00016_00h01m30s200ms_motion_progress.jpg,event_crops/E00016_00h01m30s200ms_motion_progress_DETAIL.jpg,"0,216,1208,571",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00016_00h01m30s200ms_motion_progress.jpg,event_chunks_5fps/chunk_01/event_crops/E00016_00h01m30s200ms_motion_progress_DETAIL.jpg,GE00016,CH01,CH01-E0016,event_frames/CH01-E0016_00h01m30s200ms_motion_progress.jpg,detail_crops/CH01-E0016_00h01m30s200ms_DETAIL.jpg
