segment_id,source_audio_segment,start_ms,end_ms,start,end,confidence_avg,quality_flags,text,chapter_local_start_ms,chapter_local_end_ms
T00001,audio_000,0,2000,00:00:00.000,00:00:02.000,0.6028,MEDIUM_CONFIDENCE|NON_SPEECH,[MÚSICA],0,2000
T00002,audio_000,30000,32000,00:00:30.000,00:00:32.000,0.8795,NON_SPEECH,[MÚSICA],30000,32000
T00003,audio_000,60000,62000,00:01:00.000,00:01:02.000,0.9592,NON_SPEECH,[MÚSICA],60000,62000
T00004,audio_000,62000,64000,00:01:02.000,00:01:04.000,0.9559,NON_SPEECH,[MÚSICA],62000,64000
T00005,audio_000,64000,66000,00:01:04.000,00:01:06.000,0.9539,NON_SPEECH,[MÚSICA],64000,66000
T00006,audio_000,66000,68000,00:01:06.000,00:01:08.000,0.9294,NON_SPEECH,[MÚSICA],66000,68000
T00007,audio_000,68000,70000,00:01:08.000,00:01:10.000,0.9644,NON_SPEECH,[MÚSICA],68000,70000
T00008,audio_000,70000,72000,00:01:10.000,00:01:12.000,0.9696,NON_SPEECH,[MÚSICA],70000,72000
T00009,audio_000,72000,74000,00:01:12.000,00:01:14.000,0.9858,NON_SPEECH,[MÚSICA],72000,74000
T00010,audio_000,74000,76000,00:01:14.000,00:01:16.000,0.9886,NON_SPEECH,[MÚSICA],74000,76000
T00011,audio_000,76000,78000,00:01:16.000,00:01:18.000,0.9894,NON_SPEECH,[MÚSICA],76000,78000
T00012,audio_000,78000,80000,00:01:18.000,00:01:20.000,0.9892,NON_SPEECH,[MÚSICA],78000,80000
T00013,audio_000,80000,82000,00:01:20.000,00:01:22.000,0.9867,NON_SPEECH,[MÚSICA],80000,82000
T00014,audio_000,82000,84000,00:01:22.000,00:01:24.000,0.9922,NON_SPEECH,[MÚSICA],82000,84000
T00015,audio_000,84000,86000,00:01:24.000,00:01:26.000,0.9907,NON_SPEECH,[MÚSICA],84000,86000
T00016,audio_000,86000,88000,00:01:26.000,00:01:28.000,0.988,NON_SPEECH,[MÚSICA],86000,88000
T00017,audio_000,88000,90000,00:01:28.000,00:01:30.000,0.9949,NON_SPEECH,[MÚSICA],88000,90000
T00018,audio_000,90000,92000,00:01:30.000,00:01:32.000,0.9947,NON_SPEECH,[MÚSICA],90000,92000
T00019,audio_000,92000,94000,00:01:32.000,00:01:34.000,0.9863,NON_SPEECH,[MÚSICA],92000,94000
T00020,audio_000,94000,96000,00:01:34.000,00:01:36.000,0.9951,NON_SPEECH,[MÚSICA],94000,96000
T00021,audio_000,96000,98000,00:01:36.000,00:01:38.000,0.9928,NON_SPEECH,[MÚSICA],96000,98000
T00022,audio_000,98000,100000,00:01:38.000,00:01:40.000,0.9964,NON_SPEECH,[MÚSICA],98000,100000
T00023,audio_000,100000,102000,00:01:40.000,00:01:42.000,0.9931,NON_SPEECH,[MÚSICA],100000,102000
T00024,audio_000,102000,104000,00:01:42.000,00:01:44.000,0.9971,NON_SPEECH,[MÚSICA],102000,104000
T00025,audio_000,104000,106000,00:01:44.000,00:01:46.000,0.9974,NON_SPEECH,[MÚSICA],104000,106000
T00026,audio_000,106000,108000,00:01:46.000,00:01:48.000,0.998,NON_SPEECH,[MÚSICA],106000,108000
T00027,audio_000,108000,110000,00:01:48.000,00:01:50.000,0.9981,NON_SPEECH,[MÚSICA],108000,110000
