id,time_seconds,timestamp,time_slug,kind,source_frame,analysis_frame,analysis_bbox_xyxy,state_changed_area_ratio,state_mean_absdiff,motion_changed_area_ratio,motion_mean_absdiff,full_image,detail_crop,detail_bbox_xyxy,source_chunk,source_full_image,source_detail_crop,global_event_id,chapter_id,chapter_event_id,chapter_full_image,chapter_detail_crop
E00025,111.0,00:01:51.000,00h01m51s000ms,abrupt_change,2775,555,"114,21,206,112",0.067656,3.7429,0.061161,3.4374,event_frames_full/E00025_00h01m51s000ms_abrupt_change.jpg,event_crops/E00025_00h01m51s000ms_abrupt_change_DETAIL.jpg,"634,96,1286,703",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00025_00h01m51s000ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00025_00h01m51s000ms_abrupt_change_DETAIL.jpg,GE00025,CH02,CH02-E0001,event_frames/CH02-E0001_00h01m51s000ms_abrupt_change.jpg,detail_crops/CH02-E0001_00h01m51s000ms_DETAIL.jpg
E00026,116.8,00:01:56.800,00h01m56s800ms,settled,2920,584,"114,81,206,93",0.024576,0.6684,0.0,0.005,event_frames_full/E00026_00h01m56s800ms_settled.jpg,event_crops/E00026_00h01m56s800ms_settled_DETAIL.jpg,"634,457,1286,589",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00026_00h01m56s800ms_settled.jpg,event_chunks_5fps/chunk_01/event_crops/E00026_00h01m56s800ms_settled_DETAIL.jpg,GE00026,CH02,CH02-E0002,event_frames/CH02-E0002_00h01m56s800ms_settled.jpg,detail_crops/CH02-E0002_00h01m56s800ms_DETAIL.jpg
E00027,117.4,00:01:57.400,00h01m57s400ms,abrupt_change,2935,587,"2,0,320,140",0.473214,34.7882,0.473214,34.7882,event_frames_full/E00027_00h01m57s400ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00027_00h01m57s400ms_abrupt_change.jpg,,GE00027,CH02,CH02-E0003,event_frames/CH02-E0003_00h01m57s400ms_abrupt_change.jpg,
E00028,117.8,00:01:57.800,00h01m57s800ms,abrupt_change,2945,589,"0,2,320,136",0.34221,15.2695,0.34221,15.2695,event_frames_full/E00028_00h01m57s800ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00028_00h01m57s800ms_abrupt_change.jpg,,GE00028,CH02,CH02-E0004,event_frames/CH02-E0004_00h01m57s800ms_abrupt_change.jpg,
E00029,125.2,00:02:05.200,00h02m05s200ms,abrupt_change,3130,626,"0,0,320,140",0.554286,41.1601,0.557098,41.4792,event_frames_full/E00029_00h02m05s200ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00029_00h02m05s200ms_abrupt_change.jpg,,GE00029,CH02,CH02-E0005,event_frames/CH02-E0005_00h02m05s200ms_abrupt_change.jpg,
E00030,125.8,00:02:05.800,00h02m05s800ms,abrupt_change,3145,629,"2,2,306,121",0.084621,6.2538,0.059062,5.7544,event_frames_full/E00030_00h02m05s800ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00030_00h02m05s800ms_abrupt_change.jpg,,GE00030,CH02,CH02-E0006,event_frames/CH02-E0006_00h02m05s800ms_abrupt_change.jpg,
E00031,126.4,00:02:06.400,00h02m06s400ms,stable_change,3160,632,"0,0,320,140",0.065312,4.8585,0.0,0.0,event_frames_full/E00031_00h02m06s400ms_stable_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00031_00h02m06s400ms_stable_change.jpg,,GE00031,CH02,CH02-E0007,event_frames/CH02-E0007_00h02m06s400ms_stable_change.jpg,
E00032,127.0,00:02:07.000,00h02m07s000ms,stable_change,3175,635,"0,23,320,140",0.121942,8.1017,0.0,0.0125,event_frames_full/E00032_00h02m07s000ms_stable_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00032_00h02m07s000ms_stable_change.jpg,,GE00032,CH02,CH02-E0008,event_frames/CH02-E0008_00h02m07s000ms_stable_change.jpg,
E00033,137.0,00:02:17.000,00h02m17s000ms,abrupt_change,3425,685,"0,2,320,140",0.218147,12.8005,0.216518,13.0252,event_frames_full/E00033_00h02m17s000ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00033_00h02m17s000ms_abrupt_change.jpg,,GE00033,CH02,CH02-E0009,event_frames/CH02-E0009_00h02m17s000ms_abrupt_change.jpg,
E00034,137.4,00:02:17.400,00h02m17s400ms,abrupt_change,3435,687,"3,2,320,140",0.037969,2.1588,0.036205,2.0895,event_frames_full/E00034_00h02m17s400ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00034_00h02m17s400ms_abrupt_change.jpg,,GE00034,CH02,CH02-E0010,event_frames/CH02-E0010_00h02m17s400ms_abrupt_change.jpg,
