id,time_seconds,timestamp,time_slug,kind,source_frame,analysis_frame,analysis_bbox_xyxy,state_changed_area_ratio,state_mean_absdiff,motion_changed_area_ratio,motion_mean_absdiff,full_image,detail_crop,detail_bbox_xyxy,source_chunk,source_full_image,source_detail_crop,global_event_id,chapter_id,chapter_event_id,chapter_full_image,chapter_detail_crop
E00107,283.6,00:04:43.600,00h04m43s600ms,abrupt_change,7090,1418,"2,0,320,140",0.406786,16.6861,0.410335,16.5417,event_frames_full/E00107_00h04m43s600ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00107_00h04m43s600ms_abrupt_change.jpg,,GE00107,CH03,CH03-E0001,event_frames/CH03-E0001_00h04m43s600ms_abrupt_change.jpg,
E00108,284.0,00:04:44.000,00h04m44s000ms,abrupt_change,7100,1420,"3,2,299,118",0.069955,4.9658,0.084911,5.4576,event_frames_full/E00108_00h04m44s000ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00108_00h04m44s000ms_abrupt_change.jpg,,GE00108,CH03,CH03-E0002,event_frames/CH03-E0002_00h04m44s000ms_abrupt_change.jpg,
E00109,284.4,00:04:44.400,00h04m44s400ms,abrupt_change,7110,1422,"2,0,320,140",0.074487,6.4943,0.061451,4.7855,event_frames_full/E00109_00h04m44s400ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00109_00h04m44s400ms_abrupt_change.jpg,,GE00109,CH03,CH03-E0003,event_frames/CH03-E0003_00h04m44s400ms_abrupt_change.jpg,
E00110,284.8,00:04:44.800,00h04m44s800ms,abrupt_change,7120,1424,"0,23,320,140",0.129152,8.6513,0.129152,8.6513,event_frames_full/E00110_00h04m44s800ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00110_00h04m44s800ms_abrupt_change.jpg,,GE00110,CH03,CH03-E0004,event_frames/CH03-E0004_00h04m44s800ms_abrupt_change.jpg,
E00111,288.2,00:04:48.200,00h04m48s200ms,settled,7205,1441,"0,34,135,109",0.008103,1.26,0.0,0.0,event_frames_full/E00111_00h04m48s200ms_settled.jpg,event_crops/E00111_00h04m48s200ms_settled_DETAIL.jpg,"0,174,860,685",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00111_00h04m48s200ms_settled.jpg,event_chunks_5fps/chunk_01/event_crops/E00111_00h04m48s200ms_settled_DETAIL.jpg,GE00111,CH03,CH03-E0005,event_frames/CH03-E0005_00h04m48s200ms_settled.jpg,detail_crops/CH03-E0005_00h04m48s200ms_DETAIL.jpg
E00112,291.8,00:04:51.800,00h04m51s800ms,abrupt_change,7295,1459,"0,0,320,140",0.232366,13.981,0.232076,14.0461,event_frames_full/E00112_00h04m51s800ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00112_00h04m51s800ms_abrupt_change.jpg,,GE00112,CH03,CH03-E0006,event_frames/CH03-E0006_00h04m51s800ms_abrupt_change.jpg,
E00113,292.2,00:04:52.200,00h04m52s200ms,abrupt_change,7305,1461,"2,2,306,126",0.122254,6.5308,0.03183,1.7795,event_frames_full/E00113_00h04m52s200ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00113_00h04m52s200ms_abrupt_change.jpg,,GE00113,CH03,CH03-E0007,event_frames/CH03-E0007_00h04m52s200ms_abrupt_change.jpg,
E00114,292.6,00:04:52.600,00h04m52s600ms,abrupt_change,7315,1463,"27,0,320,140",0.087634,5.7374,0.087634,5.7369,event_frames_full/E00114_00h04m52s600ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00114_00h04m52s600ms_abrupt_change.jpg,,GE00114,CH03,CH03-E0008,event_frames/CH03-E0008_00h04m52s600ms_abrupt_change.jpg,
E00115,293.2,00:04:53.200,00h04m53s200ms,stable_change,7330,1466,"0,22,320,136",0.148281,7.7951,0.003661,0.1499,event_frames_full/E00115_00h04m53s200ms_stable_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00115_00h04m53s200ms_stable_change.jpg,,GE00115,CH03,CH03-E0009,event_frames/CH03-E0009_00h04m53s200ms_stable_change.jpg,
E00116,297.6,00:04:57.600,00h04m57s600ms,abrupt_change,7440,1488,"28,45,320,138",0.08375,4.9841,0.081987,4.8886,event_frames_full/E00116_00h04m57s600ms_abrupt_change.jpg,event_crops/E00116_00h04m57s600ms_abrupt_change_DETAIL.jpg,"118,240,1920,842",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00116_00h04m57s600ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00116_00h04m57s600ms_abrupt_change_DETAIL.jpg,GE00116,CH03,CH03-E0010,event_frames/CH03-E0010_00h04m57s600ms_abrupt_change.jpg,detail_crops/CH03-E0010_00h04m57s600ms_DETAIL.jpg
E00117,299.4,00:04:59.400,00h04m59s400ms,abrupt_change,7485,1497,"27,3,320,140",0.137098,8.19,0.144621,8.2333,event_frames_full/E00117_00h04m59s400ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00117_00h04m59s400ms_abrupt_change.jpg,,GE00117,CH03,CH03-E0011,event_frames/CH03-E0011_00h04m59s400ms_abrupt_change.jpg,
