id,time_seconds,timestamp,time_slug,kind,source_frame,analysis_frame,analysis_bbox_xyxy,state_changed_area_ratio,state_mean_absdiff,motion_changed_area_ratio,motion_mean_absdiff,full_image,detail_crop,detail_bbox_xyxy,source_chunk,source_full_image,source_detail_crop,global_event_id,chapter_id,chapter_event_id,chapter_full_image,chapter_detail_crop
E00153,375.2,00:06:15.200,00h06m15s200ms,motion_progress,9380,1876,"27,50,92,101",0.028482,1.7348,0.028214,1.6609,event_frames_full/E00153_00h06m15s200ms_motion_progress.jpg,event_crops/E00153_00h06m15s200ms_motion_progress_DETAIL.jpg,"112,270,602,637",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00153_00h06m15s200ms_motion_progress.jpg,event_chunks_5fps/chunk_01/event_crops/E00153_00h06m15s200ms_motion_progress_DETAIL.jpg,GE00153,CH04,CH04-E0001,event_frames/CH04-E0001_00h06m15s200ms_motion_progress.jpg,detail_crops/CH04-E0001_00h06m15s200ms_DETAIL.jpg
E00154,378.2,00:06:18.200,00h06m18s200ms,motion_progress,9455,1891,"27,50,92,100",0.021004,1.1695,0.008683,0.5528,event_frames_full/E00154_00h06m18s200ms_motion_progress.jpg,event_crops/E00154_00h06m18s200ms_motion_progress_DETAIL.jpg,"112,270,602,631",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00154_00h06m18s200ms_motion_progress.jpg,event_chunks_5fps/chunk_01/event_crops/E00154_00h06m18s200ms_motion_progress_DETAIL.jpg,GE00154,CH04,CH04-E0002,event_frames/CH04-E0002_00h06m18s200ms_motion_progress.jpg,detail_crops/CH04-E0002_00h06m18s200ms_DETAIL.jpg
E00155,378.8,00:06:18.800,00h06m18s800ms,stable_change,9470,1894,"27,59,93,101",0.022388,1.2087,0.0,0.0,event_frames_full/E00155_00h06m18s800ms_stable_change.jpg,event_crops/E00155_00h06m18s800ms_stable_change_DETAIL.jpg,"112,324,608,637",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00155_00h06m18s800ms_stable_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00155_00h06m18s800ms_stable_change_DETAIL.jpg,GE00155,CH04,CH04-E0003,event_frames/CH04-E0003_00h06m18s800ms_stable_change.jpg,detail_crops/CH04-E0003_00h06m18s800ms_DETAIL.jpg
E00156,381.2,00:06:21.200,00h06m21s200ms,motion_progress,9530,1906,"27,59,93,76",0.024955,1.8265,0.024955,1.6921,event_frames_full/E00156_00h06m21s200ms_motion_progress.jpg,event_crops/E00156_00h06m21s200ms_motion_progress_DETAIL.jpg,"112,324,608,487",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00156_00h06m21s200ms_motion_progress.jpg,event_chunks_5fps/chunk_01/event_crops/E00156_00h06m21s200ms_motion_progress_DETAIL.jpg,GE00156,CH04,CH04-E0004,event_frames/CH04-E0004_00h06m21s200ms_motion_progress.jpg,detail_crops/CH04-E0004_00h06m21s200ms_DETAIL.jpg
E00157,381.8,00:06:21.800,00h06m21s800ms,stable_change,9545,1909,"27,46,274,81",0.020536,1.4407,0.0,0.0,event_frames_full/E00157_00h06m21s800ms_stable_change.jpg,event_crops/E00157_00h06m21s800ms_stable_change_DETAIL.jpg,"112,246,1694,517",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00157_00h06m21s800ms_stable_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00157_00h06m21s800ms_stable_change_DETAIL.jpg,GE00157,CH04,CH04-E0005,event_frames/CH04-E0005_00h06m21s800ms_stable_change.jpg,detail_crops/CH04-E0005_00h06m21s800ms_DETAIL.jpg
E00158,387.6,00:06:27.600,00h06m27s600ms,abrupt_change,9690,1938,"27,3,320,138",0.062723,4.2369,0.06433,4.2444,event_frames_full/E00158_00h06m27s600ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00158_00h06m27s600ms_abrupt_change.jpg,,GE00158,CH04,CH04-E0006,event_frames/CH04-E0006_00h06m27s600ms_abrupt_change.jpg,
E00159,390.6,00:06:30.600,00h06m30s600ms,settled,9765,1953,"27,83,78,136",0.012924,0.801,0.0,0.0027,event_frames_full/E00159_00h06m30s600ms_settled.jpg,event_crops/E00159_00h06m30s600ms_settled_DETAIL.jpg,"112,469,518,842",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00159_00h06m30s600ms_settled.jpg,event_chunks_5fps/chunk_01/event_crops/E00159_00h06m30s600ms_settled_DETAIL.jpg,GE00159,CH04,CH04-E0007,event_frames/CH04-E0007_00h06m30s600ms_settled.jpg,detail_crops/CH04-E0007_00h06m30s600ms_DETAIL.jpg
E00160,393.0,00:06:33.000,00h06m33s000ms,settled,9825,1965,"27,83,78,136",0.01317,0.8118,0.0,0.0,event_frames_full/E00160_00h06m33s000ms_settled.jpg,event_crops/E00160_00h06m33s000ms_settled_DETAIL.jpg,"112,469,518,842",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00160_00h06m33s000ms_settled.jpg,event_chunks_5fps/chunk_01/event_crops/E00160_00h06m33s000ms_settled_DETAIL.jpg,GE00160,CH04,CH04-E0008,event_frames/CH04-E0008_00h06m33s000ms_settled.jpg,detail_crops/CH04-E0008_00h06m33s000ms_DETAIL.jpg
E00161,394.8,00:06:34.800,00h06m34s800ms,abrupt_change,9870,1974,"27,95,162,140",0.049531,3.3247,0.04933,3.1442,event_frames_full/E00161_00h06m34s800ms_abrupt_change.jpg,event_crops/E00161_00h06m34s800ms_abrupt_change_DETAIL.jpg,"112,541,1022,842",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00161_00h06m34s800ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00161_00h06m34s800ms_abrupt_change_DETAIL.jpg,GE00161,CH04,CH04-E0009,event_frames/CH04-E0009_00h06m34s800ms_abrupt_change.jpg,detail_crops/CH04-E0009_00h06m34s800ms_DETAIL.jpg
E00162,395.8,00:06:35.800,00h06m35s800ms,abrupt_change,9895,1979,"27,96,160,113",0.050379,4.0618,0.050379,4.0539,event_frames_full/E00162_00h06m35s800ms_abrupt_change.jpg,event_crops/E00162_00h06m35s800ms_abrupt_change_DETAIL.jpg,"112,547,1010,709",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00162_00h06m35s800ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00162_00h06m35s800ms_abrupt_change_DETAIL.jpg,GE00162,CH04,CH04-E0010,event_frames/CH04-E0010_00h06m35s800ms_abrupt_change.jpg,detail_crops/CH04-E0010_00h06m35s800ms_DETAIL.jpg
