id,time_seconds,timestamp,time_slug,kind,source_frame,analysis_frame,analysis_bbox_xyxy,state_changed_area_ratio,state_mean_absdiff,motion_changed_area_ratio,motion_mean_absdiff,full_image,detail_crop,detail_bbox_xyxy,source_chunk,source_full_image,source_detail_crop,global_event_id,chapter_id,chapter_event_id,chapter_full_image,chapter_detail_crop
E00188,452.2,00:07:32.200,00h07m32s200ms,abrupt_change,11305,2261,"27,17,320,140",0.087321,5.0558,0.084464,4.8557,event_frames_full/E00188_00h07m32s200ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00188_00h07m32s200ms_abrupt_change.jpg,,GE00188,CH05,CH05-E0001,event_frames/CH05-E0001_00h07m32s200ms_abrupt_change.jpg,
E00189,452.6,00:07:32.600,00h07m32s600ms,abrupt_change,11315,2263,"27,13,320,140",0.092612,4.8119,0.090603,4.8947,event_frames_full/E00189_00h07m32s600ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00189_00h07m32s600ms_abrupt_change.jpg,,GE00189,CH05,CH05-E0002,event_frames/CH05-E0002_00h07m32s600ms_abrupt_change.jpg,
E00190,469.4,00:07:49.400,00h07m49s400ms,motion_progress,11735,2347,"36,48,100,98",0.025915,1.6912,0.02558,1.61,event_frames_full/E00190_00h07m49s400ms_motion_progress.jpg,event_crops/E00190_00h07m49s400ms_motion_progress_DETAIL.jpg,"166,258,650,619",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00190_00h07m49s400ms_motion_progress.jpg,event_chunks_5fps/chunk_01/event_crops/E00190_00h07m49s400ms_motion_progress_DETAIL.jpg,GE00190,CH05,CH05-E0003,event_frames/CH05-E0003_00h07m49s400ms_motion_progress.jpg,detail_crops/CH05-E0003_00h07m49s400ms_DETAIL.jpg
E00191,471.6,00:07:51.600,00h07m51s600ms,motion_progress,11790,2358,"36,49,97,98",0.020201,1.2494,0.020223,1.2326,event_frames_full/E00191_00h07m51s600ms_motion_progress.jpg,event_crops/E00191_00h07m51s600ms_motion_progress_DETAIL.jpg,"166,264,632,619",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00191_00h07m51s600ms_motion_progress.jpg,event_chunks_5fps/chunk_01/event_crops/E00191_00h07m51s600ms_motion_progress_DETAIL.jpg,GE00191,CH05,CH05-E0004,event_frames/CH05-E0004_00h07m51s600ms_motion_progress.jpg,detail_crops/CH05-E0004_00h07m51s600ms_DETAIL.jpg
E00192,474.0,00:07:54.000,00h07m54s000ms,motion_progress,11850,2370,"36,78,97,93",0.018594,1.361,0.018594,1.345,event_frames_full/E00192_00h07m54s000ms_motion_progress.jpg,event_crops/E00192_00h07m54s000ms_motion_progress_DETAIL.jpg,"166,439,632,589",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00192_00h07m54s000ms_motion_progress.jpg,event_chunks_5fps/chunk_01/event_crops/E00192_00h07m54s000ms_motion_progress_DETAIL.jpg,GE00192,CH05,CH05-E0005,event_frames/CH05-E0005_00h07m54s000ms_motion_progress.jpg,detail_crops/CH05-E0005_00h07m54s000ms_DETAIL.jpg
E00193,475.0,00:07:55.000,00h07m55s000ms,abrupt_change,11875,2375,"36,49,98,89",0.036853,2.1515,0.036763,2.1368,event_frames_full/E00193_00h07m55s000ms_abrupt_change.jpg,event_crops/E00193_00h07m55s000ms_abrupt_change_DETAIL.jpg,"166,264,638,565",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00193_00h07m55s000ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00193_00h07m55s000ms_abrupt_change_DETAIL.jpg,GE00193,CH05,CH05-E0006,event_frames/CH05-E0006_00h07m55s000ms_abrupt_change.jpg,detail_crops/CH05-E0006_00h07m55s000ms_DETAIL.jpg
E00194,475.4,00:07:55.400,00h07m55s400ms,abrupt_change,11885,2377,"36,51,99,92",0.03221,2.1998,0.03221,2.1998,event_frames_full/E00194_00h07m55s400ms_abrupt_change.jpg,event_crops/E00194_00h07m55s400ms_abrupt_change_DETAIL.jpg,"166,276,644,583",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00194_00h07m55s400ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00194_00h07m55s400ms_abrupt_change_DETAIL.jpg,GE00194,CH05,CH05-E0007,event_frames/CH05-E0007_00h07m55s400ms_abrupt_change.jpg,detail_crops/CH05-E0007_00h07m55s400ms_DETAIL.jpg
E00195,476.4,00:07:56.400,00h07m56s400ms,stable_change,11910,2382,"36,49,100,90",0.034442,2.2268,0.0,0.0,event_frames_full/E00195_00h07m56s400ms_stable_change.jpg,event_crops/E00195_00h07m56s400ms_stable_change_DETAIL.jpg,"166,264,650,571",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00195_00h07m56s400ms_stable_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00195_00h07m56s400ms_stable_change_DETAIL.jpg,GE00195,CH05,CH05-E0008,event_frames/CH05-E0008_00h07m56s400ms_stable_change.jpg,detail_crops/CH05-E0008_00h07m56s400ms_DETAIL.jpg
E00196,477.2,00:07:57.200,00h07m57s200ms,stable_change,11930,2386,"36,49,100,86",0.029978,2.1759,0.0,0.0682,event_frames_full/E00196_00h07m57s200ms_stable_change.jpg,event_crops/E00196_00h07m57s200ms_stable_change_DETAIL.jpg,"166,264,650,547",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00196_00h07m57s200ms_stable_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00196_00h07m57s200ms_stable_change_DETAIL.jpg,GE00196,CH05,CH05-E0009,event_frames/CH05-E0009_00h07m57s200ms_stable_change.jpg,detail_crops/CH05-E0009_00h07m57s200ms_DETAIL.jpg
E00197,478.0,00:07:58.000,00h07m58s000ms,stable_change,11950,2390,"36,49,97,87",0.024621,1.8609,0.0,0.0,event_frames_full/E00197_00h07m58s000ms_stable_change.jpg,event_crops/E00197_00h07m58s000ms_stable_change_DETAIL.jpg,"166,264,632,553",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00197_00h07m58s000ms_stable_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00197_00h07m58s000ms_stable_change_DETAIL.jpg,GE00197,CH05,CH05-E0010,event_frames/CH05-E0010_00h07m58s000ms_stable_change.jpg,detail_crops/CH05-E0010_00h07m58s000ms_DETAIL.jpg
