segment_id,source_audio_segment,start_ms,end_ms,start,end,confidence_avg,quality_flags,text,chapter_local_start_ms,chapter_local_end_ms
T00085,audio_003,438080,447080,00:07:18.080,00:07:27.080,0.6002,MEDIUM_CONFIDENCE,"Y el caso se pone el servicio a base de siete días, comandario de comandario de inicio",0,2080
T00086,audio_003,447080,453080,00:07:27.080,00:07:33.080,0.5484,LOW_CONFIDENCE,"a tal día, para financiar tal día, así que es que es de útil.",2080,8080
T00087,audio_003,453080,464080,00:07:33.080,00:07:44.080,0.7139,,"O que también va a tener exámenes tal fecha posterior, haciendo en fascín que va a tener",8080,19080
T00088,audio_003,464080,466080,00:07:44.080,00:07:46.080,0.8303,,posteriormente exámenes.,19080,21080
T00089,audio_003,466080,470080,00:07:46.080,00:07:50.080,0.6269,MEDIUM_CONFIDENCE,Y ya está dentro de la propización inicial.,21080,25080
T00090,audio_003,470080,477080,00:07:50.080,00:07:57.080,0.7268,,"Acá se selecciona, en este caso, es que tiene una opción de precios, distinto precios.",25080,32080
T00091,audio_003,477080,480080,00:07:57.080,00:08:00.080,0.8338,,Eso son los precios de asegurador.,32080,35080
T00092,audio_004,480000,487000,00:08:00.000,00:08:07.000,0.6516,MEDIUM_CONFIDENCE,"Quiere decir que son las relaciones que tienen, si yo digo un asegurador, no hay salida el precio que tengo asebrado con él.",35000,42000
T00093,audio_004,487000,490000,00:08:07.000,00:08:10.000,0.8212,,"Ah, tenés un catálogo de precios por aseguradora.",42000,45000
T00094,audio_004,490000,492000,00:08:10.000,00:08:12.000,0.7339,,Sí.,45000,47000
T00095,audio_004,492000,503000,00:08:12.000,00:08:23.000,0.7514,,"Entonces, tenemos el precio regular, que es prácticamente el normal del estándar.",47000,58000
T00096,audio_004,503000,508000,00:08:23.000,00:08:28.000,0.8436,,Si pongo que voy a necesitar servicio de fiscalización.,58000,63000
T00097,audio_004,508000,518000,00:08:28.000,00:08:38.000,0.5931,MEDIUM_CONFIDENCE,"Ya cuando ustedes están en el otro lado, es el precio que hay que tener el precio.",63000,73000
