id,time_seconds,timestamp,time_slug,kind,source_frame,analysis_frame,analysis_bbox_xyxy,state_changed_area_ratio,state_mean_absdiff,motion_changed_area_ratio,motion_mean_absdiff,full_image,detail_crop,detail_bbox_xyxy,source_chunk,source_full_image,source_detail_crop,global_event_id,chapter_id,chapter_event_id,chapter_full_image,chapter_detail_crop
E00275,683.6,00:11:23.600,00h11m23s600ms,abrupt_change,17090,3418,"0,0,318,117",0.830446,101.6799,0.830446,101.5599,event_frames_full/E00275_00h11m23s600ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00275_00h11m23s600ms_abrupt_change.jpg,,GE00275,CH06,CH06-E0001,event_frames/CH06-E0001_00h11m23s600ms_abrupt_change.jpg,
E00276,684.2,00:11:24.200,00h11m24s200ms,stable_change,17105,3421,"0,0,320,117",0.83067,101.934,0.0,0.0113,event_frames_full/E00276_00h11m24s200ms_stable_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00276_00h11m24s200ms_stable_change.jpg,,GE00276,CH06,CH06-E0002,event_frames/CH06-E0002_00h11m24s200ms_stable_change.jpg,
E00277,689.6,00:11:29.600,00h11m29s600ms,abrupt_change,17240,3448,"28,16,320,140",0.15471,7.2682,0.154353,7.2667,event_frames_full/E00277_00h11m29s600ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00277_00h11m29s600ms_abrupt_change.jpg,,GE00277,CH06,CH06-E0003,event_frames/CH06-E0003_00h11m29s600ms_abrupt_change.jpg,
E00278,690.0,00:11:30.000,00h11m30s000ms,abrupt_change,17250,3450,"28,16,320,140",0.288772,10.2162,0.288772,10.2162,event_frames_full/E00278_00h11m30s000ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00278_00h11m30s000ms_abrupt_change.jpg,,GE00278,CH06,CH06-E0004,event_frames/CH06-E0004_00h11m30s000ms_abrupt_change.jpg,
E00279,691.6,00:11:31.600,00h11m31s600ms,abrupt_change,17290,3458,"28,16,320,140",0.11596,5.5472,0.116429,5.5487,event_frames_full/E00279_00h11m31s600ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00279_00h11m31s600ms_abrupt_change.jpg,,GE00279,CH06,CH06-E0005,event_frames/CH06-E0005_00h11m31s600ms_abrupt_change.jpg,
E00280,692.2,00:11:32.200,00h11m32s200ms,stable_change,17305,3461,"28,16,320,140",0.226205,8.7864,0.0,0.0046,event_frames_full/E00280_00h11m32s200ms_stable_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00280_00h11m32s200ms_stable_change.jpg,,GE00280,CH06,CH06-E0006,event_frames/CH06-E0006_00h11m32s200ms_stable_change.jpg,
E00281,694.6,00:11:34.600,00h11m34s600ms,motion_progress,17365,3473,"36,63,174,125",0.028973,1.8023,0.020045,1.4479,event_frames_full/E00281_00h11m34s600ms_motion_progress.jpg,event_crops/E00281_00h11m34s600ms_motion_progress_DETAIL.jpg,"166,348,1094,781",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00281_00h11m34s600ms_motion_progress.jpg,event_chunks_5fps/chunk_01/event_crops/E00281_00h11m34s600ms_motion_progress_DETAIL.jpg,GE00281,CH06,CH06-E0007,event_frames/CH06-E0007_00h11m34s600ms_motion_progress.jpg,detail_crops/CH06-E0007_00h11m34s600ms_DETAIL.jpg
E00282,695.6,00:11:35.600,00h11m35s600ms,stable_change,17390,3478,"36,72,97,114",0.025714,1.624,0.0,0.0021,event_frames_full/E00282_00h11m35s600ms_stable_change.jpg,event_crops/E00282_00h11m35s600ms_stable_change_DETAIL.jpg,"166,403,632,715",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00282_00h11m35s600ms_stable_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00282_00h11m35s600ms_stable_change_DETAIL.jpg,GE00282,CH06,CH06-E0008,event_frames/CH06-E0008_00h11m35s600ms_stable_change.jpg,detail_crops/CH06-E0008_00h11m35s600ms_DETAIL.jpg
E00283,696.2,00:11:36.200,00h11m36s200ms,abrupt_change,17405,3481,"36,70,121,125",0.033304,1.799,0.99375,122.9868,event_frames_full/E00283_00h11m36s200ms_abrupt_change.jpg,event_crops/E00283_00h11m36s200ms_abrupt_change_DETAIL.jpg,"166,391,776,781",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00283_00h11m36s200ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00283_00h11m36s200ms_abrupt_change_DETAIL.jpg,GE00283,CH06,CH06-E0009,event_frames/CH06-E0009_00h11m36s200ms_abrupt_change.jpg,detail_crops/CH06-E0009_00h11m36s200ms_DETAIL.jpg
E00284,697.2,00:11:37.200,00h11m37s200ms,abrupt_change,17430,3486,"100,71,206,125",0.041719,2.5552,0.041451,2.559,event_frames_full/E00284_00h11m37s200ms_abrupt_change.jpg,event_crops/E00284_00h11m37s200ms_abrupt_change_DETAIL.jpg,"550,397,1286,781",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00284_00h11m37s200ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00284_00h11m37s200ms_abrupt_change_DETAIL.jpg,GE00284,CH06,CH06-E0010,event_frames/CH06-E0010_00h11m37s200ms_abrupt_change.jpg,detail_crops/CH06-E0010_00h11m37s200ms_DETAIL.jpg
