segment_id,source_audio_segment,start_ms,end_ms,start,end,confidence_avg,quality_flags,text,chapter_local_start_ms,chapter_local_end_ms
T00129,audio_005,676040,682760,00:11:16.040,00:11:22.760,0.7218,,"Si es lo que dices, estarían dos, por cada día por cinco, entonces estarían diez.",0,2760
T00130,audio_005,682760,684160,00:11:22.760,00:11:24.160,0.479,LOW_CONFIDENCE,Pero es importante que lo hagan.,2760,4160
T00131,audio_005,684160,686720,00:11:24.160,00:11:26.720,0.4434,LOW_CONFIDENCE,- ¿La conversación con el que daban por seis días para hacer el sistema?,4160,6720
T00132,audio_005,686720,692080,00:11:26.720,00:11:32.080,0.5813,MEDIUM_CONFIDENCE,"¿Le hicieron los días? - No, aquí van los regalos.",6720,12080
T00133,audio_005,692080,695600,00:11:32.080,00:11:35.600,0.7669,,¿Qué pasa? Dice que van a tener sumas.,12080,15600
T00134,audio_005,695600,699280,00:11:35.600,00:11:39.280,0.7281,,"Entonces, le damos una categoría de sumas.",15600,19280
T00135,audio_005,699280,701880,00:11:39.280,00:11:41.880,0.6052,MEDIUM_CONFIDENCE,"Quiero ocupar, ¿qué vas a ocupar?",19280,21880
T00136,audio_005,701880,704440,00:11:41.880,00:11:44.440,0.5248,LOW_CONFIDENCE,- Sería un buscador. - Gracias.,21880,24440
T00137,audio_005,707000,709320,00:11:47.000,00:11:49.320,0.455,LOW_CONFIDENCE,- ¿Dónde están los días? - En el salino.,27000,29320
T00138,audio_005,709320,711320,00:11:49.320,00:11:51.320,0.6551,MEDIUM_CONFIDENCE,- ¿En el salino? - Sí.,29320,31320
T00139,audio_005,715320,718320,00:11:55.320,00:11:58.320,0.4272,LOW_CONFIDENCE,- Y me he tratado de ser de tu.,35320,38320
T00140,audio_006,720000,737760,00:12:00.000,00:12:17.760,0.7335,,"Si hay estudios, también tienen la opción de selección de estudios.",40000,57760
T00141,audio_006,737760,753680,00:12:17.760,00:12:33.680,0.3839,LOW_CONFIDENCE,"En el canal de Isis, está como un bicarbonidad, porque con él fue como un primer, cortarte,",57760,73680
T00142,audio_006,753680,771440,00:12:33.680,00:12:51.440,0.423,LOW_CONFIDENCE,"para que vean aquí, las cosas, y todo eso.",73680,91440
T00143,audio_006,771440,792880,00:12:51.440,00:13:12.880,0.5665,MEDIUM_CONFIDENCE,"En el canal de Isis, hay una opción de selección de estudios, para que vean aquí, la opción",91440,112880
T00144,audio_006,792880,817880,00:13:12.880,00:13:37.880,0.678,MEDIUM_CONFIDENCE,"de selección de estudios, para que vean aquí, la opción de selección de estudios, para",112880,137880
T00145,audio_006,817880,832280,00:13:37.880,00:13:52.280,0.8421,,"que vean aquí, la opción de selección de estudios, para que vean aquí, la opción",137880,152280
T00146,audio_006,832280,839360,00:13:52.280,00:13:59.360,0.8788,,"de selección de estudios, para que vean aquí, la opción de selección de estudios, para",152280,159360
T00147,audio_006,839360,840360,00:13:59.360,00:14:00.360,0.8783,,"que vean aquí, la opción de selección de estudios, para que vean aquí, la opción",159360,160360
T00148,audio_007,840000,852000,00:14:00.000,00:14:12.000,0.532,LOW_CONFIDENCE,"Pero también está el caso que yo le puedo reivindicar aquí el nombre, lo que quería hacer, personalista.",160000,172000
T00149,audio_007,852000,860000,00:14:12.000,00:14:20.000,0.5248,LOW_CONFIDENCE,"Entonces acá ya está, me lo jala, que por los datos y aquí, serviste.",172000,180000
T00150,audio_007,860000,870000,00:14:20.000,00:14:30.000,0.7621,,"Entonces aquí le doy guardar, me lo guarda, entonces me voy atrás por efectos de...",180000,190000
