id,time_seconds,timestamp,time_slug,kind,source_frame,analysis_frame,analysis_bbox_xyxy,state_changed_area_ratio,state_mean_absdiff,motion_changed_area_ratio,motion_mean_absdiff,full_image,detail_crop,detail_bbox_xyxy,source_chunk,source_full_image,source_detail_crop,global_event_id,chapter_id,chapter_event_id,chapter_full_image,chapter_detail_crop
E00390,866.6,00:14:26.600,00h14m26s600ms,settled,21665,4333,"142,117,187,130",0.011384,0.3999,0.0,0.0,event_frames_full/E00390_00h14m26s600ms_settled.jpg,event_crops/E00390_00h14m26s600ms_settled_DETAIL.jpg,"802,673,1172,811",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00390_00h14m26s600ms_settled.jpg,event_chunks_5fps/chunk_01/event_crops/E00390_00h14m26s600ms_settled_DETAIL.jpg,GE00390,CH07,CH07-E0001,event_frames/CH07-E0001_00h14m26s600ms_settled.jpg,detail_crops/CH07-E0001_00h14m26s600ms_DETAIL.jpg
E00391,870.0,00:14:30.000,00h14m30s000ms,abrupt_change,21750,4350,"2,0,320,140",0.312634,12.9612,0.312612,12.9871,event_frames_full/E00391_00h14m30s000ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00391_00h14m30s000ms_abrupt_change.jpg,,GE00391,CH07,CH07-E0002,event_frames/CH07-E0002_00h14m30s000ms_abrupt_change.jpg,
E00392,870.6,00:14:30.600,00h14m30s600ms,stable_change,21765,4353,"2,2,304,126",0.134777,7.5084,0.0,0.0,event_frames_full/E00392_00h14m30s600ms_stable_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00392_00h14m30s600ms_stable_change.jpg,,GE00392,CH07,CH07-E0003,event_frames/CH07-E0003_00h14m30s600ms_stable_change.jpg,
E00393,871.2,00:14:31.200,00h14m31s200ms,abrupt_change,21780,4356,"28,0,320,140",0.117768,6.6255,0.062321,3.7098,event_frames_full/E00393_00h14m31s200ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00393_00h14m31s200ms_abrupt_change.jpg,,GE00393,CH07,CH07-E0004,event_frames/CH07-E0004_00h14m31s200ms_abrupt_change.jpg,
E00394,872.0,00:14:32.000,00h14m32s000ms,abrupt_change,21800,4360,"0,34,320,140",0.091786,5.2971,0.031429,2.06,event_frames_full/E00394_00h14m32s000ms_abrupt_change.jpg,event_crops/E00394_00h14m32s000ms_abrupt_change_DETAIL.jpg,"0,174,1920,842",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00394_00h14m32s000ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00394_00h14m32s000ms_abrupt_change_DETAIL.jpg,GE00394,CH07,CH07-E0005,event_frames/CH07-E0005_00h14m32s000ms_abrupt_change.jpg,detail_crops/CH07-E0005_00h14m32s000ms_DETAIL.jpg
E00395,872.4,00:14:32.400,00h14m32s400ms,abrupt_change,21810,4362,"29,47,320,140",0.086429,5.3191,0.052545,2.7458,event_frames_full/E00395_00h14m32s400ms_abrupt_change.jpg,event_crops/E00395_00h14m32s400ms_abrupt_change_DETAIL.jpg,"124,252,1920,842",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00395_00h14m32s400ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00395_00h14m32s400ms_abrupt_change_DETAIL.jpg,GE00395,CH07,CH07-E0006,event_frames/CH07-E0006_00h14m32s400ms_abrupt_change.jpg,detail_crops/CH07-E0006_00h14m32s400ms_DETAIL.jpg
E00396,873.0,00:14:33.000,00h14m33s000ms,abrupt_change,21825,4365,"27,3,320,140",0.209933,12.6883,0.209933,12.6929,event_frames_full/E00396_00h14m33s000ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00396_00h14m33s000ms_abrupt_change.jpg,,GE00396,CH07,CH07-E0007,event_frames/CH07-E0007_00h14m33s000ms_abrupt_change.jpg,
E00397,884.4,00:14:44.400,00h14m44s400ms,abrupt_change,22110,4422,"28,21,320,140",0.17192,10.6599,0.17096,10.5276,event_frames_full/E00397_00h14m44s400ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00397_00h14m44s400ms_abrupt_change.jpg,,GE00397,CH07,CH07-E0008,event_frames/CH07-E0008_00h14m44s400ms_abrupt_change.jpg,
E00398,888.8,00:14:48.800,00h14m48s800ms,abrupt_change,22220,4444,"31,33,304,104",0.028996,1.4858,0.031116,1.5721,event_frames_full/E00398_00h14m48s800ms_abrupt_change.jpg,event_crops/E00398_00h14m48s800ms_abrupt_change_DETAIL.jpg,"136,168,1874,655",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00398_00h14m48s800ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00398_00h14m48s800ms_abrupt_change_DETAIL.jpg,GE00398,CH07,CH07-E0009,event_frames/CH07-E0009_00h14m48s800ms_abrupt_change.jpg,detail_crops/CH07-E0009_00h14m48s800ms_DETAIL.jpg
E00399,889.6,00:14:49.600,00h14m49s600ms,stable_change,22240,4448,"47,51,127,102",0.023504,1.1578,0.0,0.0144,event_frames_full/E00399_00h14m49s600ms_stable_change.jpg,event_crops/E00399_00h14m49s600ms_stable_change_DETAIL.jpg,"232,276,812,643",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00399_00h14m49s600ms_stable_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00399_00h14m49s600ms_stable_change_DETAIL.jpg,GE00399,CH07,CH07-E0010,event_frames/CH07-E0010_00h14m49s600ms_stable_change.jpg,detail_crops/CH07-E0010_00h14m49s600ms_DETAIL.jpg
E00400,892.0,00:14:52.000,00h14m52s000ms,abrupt_change,22300,4460,"31,33,304,104",0.046183,2.2036,0.046674,2.1811,event_frames_full/E00400_00h14m52s000ms_abrupt_change.jpg,event_crops/E00400_00h14m52s000ms_abrupt_change_DETAIL.jpg,"136,168,1874,655",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00400_00h14m52s000ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00400_00h14m52s000ms_abrupt_change_DETAIL.jpg,GE00400,CH07,CH07-E0011,event_frames/CH07-E0011_00h14m52s000ms_abrupt_change.jpg,detail_crops/CH07-E0011_00h14m52s000ms_DETAIL.jpg
E00002,948.0,00:15:48.000,00h15m48s000ms,abrupt_change,23700,245,"27,18,320,137",0.194085,10.2081,0.194397,10.2182,event_frames_full/E00002_00h15m48s000ms_abrupt_change.jpg,,,chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00002_00h15m48s000ms_abrupt_change.jpg,,GE00401,CH07,CH07-E0012,event_frames/CH07-E0012_00h15m48s000ms_abrupt_change.jpg,
E00003,948.6,00:15:48.600,00h15m48s600ms,stable_change,23715,248,"27,18,320,133",0.16846,10.5792,0.0,0.0269,event_frames_full/E00003_00h15m48s600ms_stable_change.jpg,,,chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00003_00h15m48s600ms_stable_change.jpg,,GE00402,CH07,CH07-E0013,event_frames/CH07-E0013_00h15m48s600ms_stable_change.jpg,
