id,time_seconds,timestamp,time_slug,kind,source_frame,analysis_frame,analysis_bbox_xyxy,state_changed_area_ratio,state_mean_absdiff,motion_changed_area_ratio,motion_mean_absdiff,full_image,detail_crop,detail_bbox_xyxy,source_chunk,source_full_image,source_detail_crop,global_event_id,chapter_id,chapter_event_id,chapter_full_image,chapter_detail_crop
E00009,976.0,00:16:16.000,00h16m16s000ms,abrupt_change,24400,385,"0,0,320,140",1.0,167.9224,1.0,167.8451,event_frames_full/E00009_00h16m16s000ms_abrupt_change.jpg,,,chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00009_00h16m16s000ms_abrupt_change.jpg,,GE00408,CH08,CH08-E0001,event_frames/CH08-E0001_00h16m16s000ms_abrupt_change.jpg,
E00010,976.4,00:16:16.400,00h16m16s400ms,abrupt_change,24410,387,"0,0,320,140",1.0,133.4673,1.0,142.7735,event_frames_full/E00010_00h16m16s400ms_abrupt_change.jpg,,,chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00010_00h16m16s400ms_abrupt_change.jpg,,GE00409,CH08,CH08-E0002,event_frames/CH08-E0002_00h16m16s400ms_abrupt_change.jpg,
E00011,977.0,00:16:17.000,00h16m17s000ms,stable_change,24425,390,"39,4,274,71",0.019286,1.639,0.0,0.0115,event_frames_full/E00011_00h16m17s000ms_stable_change.jpg,event_crops/E00011_00h16m17s000ms_stable_change_DETAIL.jpg,"184,0,1694,457",chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00011_00h16m17s000ms_stable_change.jpg,event_chunks_5fps/chunk_02/event_crops/E00011_00h16m17s000ms_stable_change_DETAIL.jpg,GE00410,CH08,CH08-E0003,event_frames/CH08-E0003_00h16m17s000ms_stable_change.jpg,detail_crops/CH08-E0003_00h16m17s000ms_DETAIL.jpg
E00012,978.4,00:16:18.400,00h16m18s400ms,abrupt_change,24460,397,"37,0,320,137",0.219353,14.8153,0.219263,14.8245,event_frames_full/E00012_00h16m18s400ms_abrupt_change.jpg,,,chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00012_00h16m18s400ms_abrupt_change.jpg,,GE00411,CH08,CH08-E0004,event_frames/CH08-E0004_00h16m18s400ms_abrupt_change.jpg,
E00013,979.0,00:16:19.000,00h16m19s000ms,stable_change,24475,400,"48,0,320,137",0.142612,6.1085,0.0,0.0007,event_frames_full/E00013_00h16m19s000ms_stable_change.jpg,,,chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00013_00h16m19s000ms_stable_change.jpg,,GE00412,CH08,CH08-E0005,event_frames/CH08-E0005_00h16m19s000ms_stable_change.jpg,
E00014,979.4,00:16:19.400,00h16m19s400ms,abrupt_change,24485,402,"47,0,320,140",0.116161,5.4291,0.115268,5.3688,event_frames_full/E00014_00h16m19s400ms_abrupt_change.jpg,,,chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00014_00h16m19s400ms_abrupt_change.jpg,,GE00413,CH08,CH08-E0006,event_frames/CH08-E0006_00h16m19s400ms_abrupt_change.jpg,
E00015,980.0,00:16:20.000,00h16m20s000ms,stable_change,24500,405,"50,0,320,140",0.056674,3.6822,0.000201,0.016,event_frames_full/E00015_00h16m20s000ms_stable_change.jpg,,,chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00015_00h16m20s000ms_stable_change.jpg,,GE00414,CH08,CH08-E0007,event_frames/CH08-E0007_00h16m20s000ms_stable_change.jpg,
E00016,984.2,00:16:24.200,00h16m24s200ms,motion_progress,24605,426,"53,64,156,88",0.028259,2.098,0.027991,2.0407,event_frames_full/E00016_00h16m24s200ms_motion_progress.jpg,event_crops/E00016_00h16m24s200ms_motion_progress_DETAIL.jpg,"268,354,986,559",chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00016_00h16m24s200ms_motion_progress.jpg,event_chunks_5fps/chunk_02/event_crops/E00016_00h16m24s200ms_motion_progress_DETAIL.jpg,GE00415,CH08,CH08-E0008,event_frames/CH08-E0008_00h16m24s200ms_motion_progress.jpg,detail_crops/CH08-E0008_00h16m24s200ms_DETAIL.jpg
E00017,985.2,00:16:25.200,00h16m25s200ms,abrupt_change,24630,431,"53,64,156,89",0.039152,2.4169,0.038951,2.3836,event_frames_full/E00017_00h16m25s200ms_abrupt_change.jpg,event_crops/E00017_00h16m25s200ms_abrupt_change_DETAIL.jpg,"268,354,986,565",chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00017_00h16m25s200ms_abrupt_change.jpg,event_chunks_5fps/chunk_02/event_crops/E00017_00h16m25s200ms_abrupt_change_DETAIL.jpg,GE00416,CH08,CH08-E0009,event_frames/CH08-E0009_00h16m25s200ms_abrupt_change.jpg,detail_crops/CH08-E0009_00h16m25s200ms_DETAIL.jpg
E00018,985.6,00:16:25.600,00h16m25s600ms,abrupt_change,24640,433,"53,59,156,90",0.044018,2.43,0.044018,2.43,event_frames_full/E00018_00h16m25s600ms_abrupt_change.jpg,event_crops/E00018_00h16m25s600ms_abrupt_change_DETAIL.jpg,"268,324,986,571",chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00018_00h16m25s600ms_abrupt_change.jpg,event_chunks_5fps/chunk_02/event_crops/E00018_00h16m25s600ms_abrupt_change_DETAIL.jpg,GE00417,CH08,CH08-E0010,event_frames/CH08-E0010_00h16m25s600ms_abrupt_change.jpg,detail_crops/CH08-E0010_00h16m25s600ms_DETAIL.jpg
