id,time_seconds,timestamp,time_slug,kind,source_frame,analysis_frame,analysis_bbox_xyxy,state_changed_area_ratio,state_mean_absdiff,motion_changed_area_ratio,motion_mean_absdiff,full_image,detail_crop,detail_bbox_xyxy,source_chunk,source_full_image,source_detail_crop,global_event_id,chapter_id,chapter_event_id,chapter_full_image,chapter_detail_crop
E00104,1261.6,00:21:01.600,00h21m01s600ms,settled,31540,1813,"0,100,52,140",0.008237,0.5089,0.0,0.0,event_frames_full/E00104_00h21m01s600ms_settled.jpg,event_crops/E00104_00h21m01s600ms_settled_DETAIL.jpg,"0,571,362,842",chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00104_00h21m01s600ms_settled.jpg,event_chunks_5fps/chunk_02/event_crops/E00104_00h21m01s600ms_settled_DETAIL.jpg,GE00503,CH09,CH09-E0001,event_frames/CH09-E0001_00h21m01s600ms_settled.jpg,detail_crops/CH09-E0001_00h21m01s600ms_DETAIL.jpg
E00105,1262.8,00:21:02.800,00h21m02s800ms,settled,31570,1819,"0,89,51,132",0.012009,0.6736,0.0,0.0,event_frames_full/E00105_00h21m02s800ms_settled.jpg,event_crops/E00105_00h21m02s800ms_settled_DETAIL.jpg,"0,505,356,823",chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00105_00h21m02s800ms_settled.jpg,event_chunks_5fps/chunk_02/event_crops/E00105_00h21m02s800ms_settled_DETAIL.jpg,GE00504,CH09,CH09-E0002,event_frames/CH09-E0002_00h21m02s800ms_settled.jpg,detail_crops/CH09-E0002_00h21m02s800ms_DETAIL.jpg
E00106,1263.8,00:21:03.800,00h21m03s800ms,motion_progress,31595,1824,"0,46,53,121",0.025268,1.2114,0.012656,0.6502,event_frames_full/E00106_00h21m03s800ms_motion_progress.jpg,event_crops/E00106_00h21m03s800ms_motion_progress_DETAIL.jpg,"0,246,368,757",chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00106_00h21m03s800ms_motion_progress.jpg,event_chunks_5fps/chunk_02/event_crops/E00106_00h21m03s800ms_motion_progress_DETAIL.jpg,GE00505,CH09,CH09-E0003,event_frames/CH09-E0003_00h21m03s800ms_motion_progress.jpg,detail_crops/CH09-E0003_00h21m03s800ms_DETAIL.jpg
E00107,1269.4,00:21:09.400,00h21m09s400ms,abrupt_change,31735,1852,"0,2,320,136",0.151719,8.9372,0.150179,8.9106,event_frames_full/E00107_00h21m09s400ms_abrupt_change.jpg,,,chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00107_00h21m09s400ms_abrupt_change.jpg,,GE00506,CH09,CH09-E0004,event_frames/CH09-E0004_00h21m09s400ms_abrupt_change.jpg,
E00108,1269.8,00:21:09.800,00h21m09s800ms,abrupt_change,31745,1854,"3,2,320,140",0.141272,6.8156,0.141272,6.8156,event_frames_full/E00108_00h21m09s800ms_abrupt_change.jpg,,,chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00108_00h21m09s800ms_abrupt_change.jpg,,GE00507,CH09,CH09-E0005,event_frames/CH09-E0005_00h21m09s800ms_abrupt_change.jpg,
E00109,1270.4,00:21:10.400,00h21m10s400ms,stable_change,31760,1857,"2,3,120,124",0.014397,1.3149,0.0,0.0123,event_frames_full/E00109_00h21m10s400ms_stable_change.jpg,event_crops/E00109_00h21m10s400ms_stable_change_DETAIL.jpg,"0,0,770,775",chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00109_00h21m10s400ms_stable_change.jpg,event_chunks_5fps/chunk_02/event_crops/E00109_00h21m10s400ms_stable_change_DETAIL.jpg,GE00508,CH09,CH09-E0006,event_frames/CH09-E0006_00h21m10s400ms_stable_change.jpg,detail_crops/CH09-E0006_00h21m10s400ms_DETAIL.jpg
E00110,1271.0,00:21:11.000,00h21m11s000ms,abrupt_change,31775,1860,"28,0,320,140",0.098058,5.908,0.097969,5.9064,event_frames_full/E00110_00h21m11s000ms_abrupt_change.jpg,,,chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00110_00h21m11s000ms_abrupt_change.jpg,,GE00509,CH09,CH09-E0007,event_frames/CH09-E0007_00h21m11s000ms_abrupt_change.jpg,
E00111,1271.6,00:21:11.600,00h21m11s600ms,stable_change,31790,1863,"0,0,320,140",0.117634,7.8575,0.003705,0.1474,event_frames_full/E00111_00h21m11s600ms_stable_change.jpg,,,chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00111_00h21m11s600ms_stable_change.jpg,,GE00510,CH09,CH09-E0008,event_frames/CH09-E0008_00h21m11s600ms_stable_change.jpg,
E00112,1272.2,00:21:12.200,00h21m12s200ms,abrupt_change,31805,1866,"28,48,320,140",0.093371,4.9436,0.093371,4.9205,event_frames_full/E00112_00h21m12s200ms_abrupt_change.jpg,event_crops/E00112_00h21m12s200ms_abrupt_change_DETAIL.jpg,"118,258,1920,842",chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00112_00h21m12s200ms_abrupt_change.jpg,event_chunks_5fps/chunk_02/event_crops/E00112_00h21m12s200ms_abrupt_change_DETAIL.jpg,GE00511,CH09,CH09-E0009,event_frames/CH09-E0009_00h21m12s200ms_abrupt_change.jpg,detail_crops/CH09-E0009_00h21m12s200ms_DETAIL.jpg
E00113,1274.0,00:21:14.000,00h21m14s000ms,abrupt_change,31850,1875,"27,3,320,140",0.178616,9.888,0.166473,9.6187,event_frames_full/E00113_00h21m14s000ms_abrupt_change.jpg,,,chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00113_00h21m14s000ms_abrupt_change.jpg,,GE00512,CH09,CH09-E0010,event_frames/CH09-E0010_00h21m14s000ms_abrupt_change.jpg,
