segment_id,source_audio_segment,start_ms,end_ms,start,end,confidence_avg,quality_flags,text,chapter_local_start_ms,chapter_local_end_ms
T00205,audio_010,1254480,1265480,00:20:54.480,00:21:05.480,0.709,,"Ya tenían separado como la parte administrativa, todas las...",0,5480
T00206,audio_010,1265480,1270480,00:21:05.480,00:21:10.480,0.8221,,los datos que necesitaba la parte de la administración y también todos los datos clínicos que se,5480,10480
T00207,audio_010,1270480,1280480,00:21:10.480,00:21:20.480,0.7051,,lo llevaban a parte de hospitalización. En este caso están todos los pacientes que...,10480,20480
T00208,audio_010,1280480,1290480,00:21:20.480,00:21:30.480,0.7875,,"Cuando la parte administrativa ingresaba el paciente, aquí aparecía el pendiente, aquí yo ya lo voy a activar",20480,30480
T00209,audio_010,1290480,1296480,00:21:30.480,00:21:36.480,0.6941,MEDIUM_CONFIDENCE,"y ya le activa, ya me deja.",30480,36480
T00210,audio_010,1296480,1310480,00:21:36.480,00:21:50.480,0.7882,,Ya me deja crear como la parte tímida donde me va a pedir el diagnóstico que en este caso,36480,50480
T00211,audio_010,1310480,1319480,00:21:50.480,00:21:59.480,0.8129,,"ahí ocupa lo que es el SIE 10, que son los diagnósticos estándares que utilizamos todos,",50480,59480
T00212,audio_010,1319480,1322480,00:21:59.480,00:22:02.480,0.5243,LOW_CONFIDENCE,ya están en el SIE 10.,59480,62480
T00213,audio_011,1320000,1325000,00:22:00.000,00:22:05.000,0.5283,LOW_CONFIDENCE,Y es un listado que me estaba desengadado para que ya MCE11.,60000,65000
T00214,audio_011,1325000,1327000,00:22:05.000,00:22:07.000,0.6376,MEDIUM_CONFIDENCE,"Ok, el actualizado.",65000,67000
T00215,audio_011,1327000,1329000,00:22:07.000,00:22:09.000,0.8676,,El actualizado es el último.,67000,69000
T00216,audio_011,1329000,1337000,00:22:09.000,00:22:17.000,0.7616,,"Entonces poníamos el diagnóstico del paciente, el grupo diagnóstico, el VIH,",69000,77000
T00217,audio_011,1337000,1344000,00:22:17.000,00:22:24.000,0.7852,,"y el perfil del paciente, que es prácticamente lo que vamos a hacer,",77000,84000
T00218,audio_011,1344000,1350000,00:22:24.000,00:22:30.000,0.5416,LOW_CONFIDENCE,"si vamos a ver el instalamento de un tramecular, si vamos a ver el atal, si van a ver el labericio clínico,",84000,90000
T00219,audio_011,1350000,1352000,00:22:30.000,00:22:32.000,0.707,,es como ya su categoría.,90000,92000
T00220,audio_011,1352000,1354000,00:22:32.000,00:22:34.000,0.8596,,Como ya su categoría.,92000,94000
T00221,audio_011,1354000,1359000,00:22:34.000,00:22:39.000,0.607,MEDIUM_CONFIDENCE,"De ahí estos datos no eran así como los de adelante, pero ahí los pedimos.",94000,99000
T00222,audio_011,1359000,1367000,00:22:39.000,00:22:47.000,0.8187,,"Ya yo guardarlo para que me servía esto, esto me servía ya para el expediente clínico,",99000,107000
T00223,audio_011,1367000,1371000,00:22:47.000,00:22:51.000,0.9112,,que aquí lo ponen como reporte de salud.,107000,111000
T00224,audio_011,1375000,1377000,00:22:55.000,00:22:57.000,0.297,LOW_CONFIDENCE,Eso.,115000,117000
T00225,audio_011,1377000,1379000,00:22:57.000,00:22:59.000,0.6607,MEDIUM_CONFIDENCE,Como no hay más datos.,117000,119000
T00226,audio_011,1379000,1381000,00:22:59.000,00:23:01.000,0.5129,LOW_CONFIDENCE,No hay más datos.,119000,121000
T00227,audio_011,1381000,1383000,00:23:01.000,00:23:03.000,0.6211,MEDIUM_CONFIDENCE,No hay más datos.,121000,123000
T00228,audio_011,1383000,1385000,00:23:03.000,00:23:05.000,0.6994,MEDIUM_CONFIDENCE,No hay más datos.,123000,125000
T00229,audio_011,1385000,1387000,00:23:05.000,00:23:07.000,0.7418,,No hay más datos.,125000,127000
T00230,audio_011,1387000,1389000,00:23:07.000,00:23:09.000,0.7856,,No hay más datos.,127000,129000
T00231,audio_011,1389000,1391000,00:23:09.000,00:23:11.000,0.7944,,No hay más datos.,129000,131000
T00232,audio_011,1391000,1398000,00:23:11.000,00:23:18.000,0.7079,,"Aquí para poder destacar yo el expediente clínico, el PDF podía seleccionar para que se echara el ferir.",131000,138000
T00233,audio_011,1398000,1400000,00:23:18.000,00:23:20.000,0.5647,MEDIUM_CONFIDENCE,Quiero que lo quiera.,138000,140000
T00234,audio_011,1400000,1404000,00:23:20.000,00:23:24.000,0.5464,LOW_CONFIDENCE,"Si, ya le daba más que ya entendí que se llama.",140000,144000
T00235,audio_011,1404000,1406000,00:23:24.000,00:23:26.000,0.6969,MEDIUM_CONFIDENCE,Si.,144000,146000
T00236,audio_011,1406000,1411000,00:23:26.000,00:23:31.000,0.5846,MEDIUM_CONFIDENCE,"Ok, por neáctite que usted quiera, ahí vas a saber el expediente.",146000,151000
T00237,audio_011,1411000,1413000,00:23:31.000,00:23:33.000,0.4089,LOW_CONFIDENCE,Vale.,151000,153000
T00238,audio_011,1413000,1415000,00:23:33.000,00:23:35.000,0.5655,MEDIUM_CONFIDENCE,Quiero que lo dupate el expediente.,153000,155000
T00239,audio_011,1420000,1424000,00:23:40.000,00:23:44.000,0.5415,LOW_CONFIDENCE,"Los más que lo daban más, vamos a ver el clínico.",160000,164000
T00240,audio_011,1424000,1426000,00:23:44.000,00:23:46.000,0.4068,LOW_CONFIDENCE,"Lo voy a ver, no te hable de efecto.",164000,166000
T00241,audio_011,1430000,1432000,00:23:50.000,00:23:52.000,0.6428,MEDIUM_CONFIDENCE,No te hable de efecto.,170000,172000
T00242,audio_011,1432000,1434000,00:23:52.000,00:23:54.000,0.7571,,No te hable de efecto.,172000,174000
T00243,audio_011,1434000,1436000,00:23:54.000,00:23:56.000,0.7785,,No te hable de efecto.,174000,176000
T00244,audio_011,1436000,1438000,00:23:56.000,00:23:58.000,0.7793,,No te hable de efecto.,176000,178000
T00245,audio_011,1438000,1440000,00:23:58.000,00:24:00.000,0.8135,,No te hable de efecto.,178000,180000
T00246,audio_012,1440000,1445460,00:24:00.000,00:24:05.460,0.6986,MEDIUM_CONFIDENCE,"Al 15, selecciono las pechas, lo de seleccionar, lo de cada.",180000,185460
T00247,audio_012,1450440,1457680,00:24:10.440,00:24:17.680,0.7201,,"Imprimir y en esta parte yo puedo seleccionar cómo quiero, yo que me aparezca el expediente a recagarlo.",190440,197680
T00248,audio_012,1459160,1464680,00:24:19.160,00:24:24.680,0.766,,"En este caso le han puesto como sin evitar tarjeta de medicamentos gráficos, la tarjeta de enfermería.",199160,204680
T00249,audio_012,1467240,1468440,00:24:27.240,00:24:28.440,0.8266,,Y al darle imprimir.,207240,208440
T00250,audio_012,1470000,1472000,00:24:30.000,00:24:32.000,0.5697,MEDIUM_CONFIDENCE,"Seguro que desea saber, pues.",210000,212000
T00251,audio_012,1474000,1478000,00:24:34.000,00:24:38.000,0.6704,MEDIUM_CONFIDENCE,"A me aparece otra cosa, como está seguro que desea saber, de granada.",214000,218000
T00252,audio_012,1485360,1489360,00:24:45.360,00:24:49.360,0.5778,MEDIUM_CONFIDENCE,"No me apareces. Pero, ah, y eso te aparece en case.",225360,229360
T00253,audio_012,1490360,1496000,00:24:50.360,00:24:56.000,0.6728,MEDIUM_CONFIDENCE,"Este ya es el expediente clínico, solo que es, hay una manera como reportar, que es,",230360,236000
T00254,audio_012,1496000,1501000,00:24:56.000,00:25:01.000,0.5983,MEDIUM_CONFIDENCE,aquí van y me dejaré los datos del paciente.,236000,241000
T00255,audio_012,1501000,1508000,00:25:01.000,00:25:08.000,0.79,,"En el dato del paciente va el historial clínico, la duración de la hospitalización, en medio de contratante,",241000,248000
T00256,audio_012,1508000,1514000,00:25:08.000,00:25:14.000,0.8141,,"si hay otros médicos, el diagnóstico, signos vitales.",248000,254000
T00257,audio_012,1519000,1524000,00:25:19.000,00:25:24.000,0.3419,LOW_CONFIDENCE,"Pero, pues, el cogejo frappistán, el que se llama el cogejo, el cogejo de la vida,",259000,264000
T00258,audio_012,1524000,1526000,00:25:24.000,00:25:26.000,0.8241,,es el cogejo frappistán.,264000,266000
T00259,audio_012,1527000,1530000,00:25:27.000,00:25:30.000,0.5162,LOW_CONFIDENCE,"Pero, pues, eso es lo que preferir, porque es otra pestaña esta.",267000,270000
