id,time_seconds,timestamp,time_slug,kind,source_frame,analysis_frame,analysis_bbox_xyxy,state_changed_area_ratio,state_mean_absdiff,motion_changed_area_ratio,motion_mean_absdiff,full_image,detail_crop,detail_bbox_xyxy,source_chunk,source_full_image,source_detail_crop,global_event_id,chapter_id,chapter_event_id,chapter_full_image,chapter_detail_crop
E00241,1640.4,00:27:20.400,00h27m20s400ms,stable_change,41010,3707,"0,2,320,140",0.166629,8.7757,0.0,0.0,event_frames_full/E00241_00h27m20s400ms_stable_change.jpg,,,chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00241_00h27m20s400ms_stable_change.jpg,,GE00640,CH10,CH10-E0001,event_frames/CH10-E0001_00h27m20s400ms_stable_change.jpg,
E00242,1648.8,00:27:28.800,00h27m28s800ms,settled,41220,3749,"0,46,53,92",0.010067,0.7407,0.0,0.0,event_frames_full/E00242_00h27m28s800ms_settled.jpg,event_crops/E00242_00h27m28s800ms_settled_DETAIL.jpg,"0,246,368,583",chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00242_00h27m28s800ms_settled.jpg,event_chunks_5fps/chunk_02/event_crops/E00242_00h27m28s800ms_settled_DETAIL.jpg,GE00641,CH10,CH10-E0002,event_frames/CH10-E0002_00h27m28s800ms_settled.jpg,detail_crops/CH10-E0002_00h27m28s800ms_DETAIL.jpg
E00243,1651.0,00:27:31.000,00h27m31s000ms,settled,41275,3760,"0,46,53,92",0.010134,0.6522,0.0,0.0,event_frames_full/E00243_00h27m31s000ms_settled.jpg,event_crops/E00243_00h27m31s000ms_settled_DETAIL.jpg,"0,246,368,583",chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00243_00h27m31s000ms_settled.jpg,event_chunks_5fps/chunk_02/event_crops/E00243_00h27m31s000ms_settled_DETAIL.jpg,GE00642,CH10,CH10-E0003,event_frames/CH10-E0003_00h27m31s000ms_settled.jpg,detail_crops/CH10-E0003_00h27m31s000ms_DETAIL.jpg
E00244,1655.4,00:27:35.400,00h27m35s400ms,abrupt_change,41385,3782,"0,2,320,140",0.215714,11.6805,0.214754,11.6879,event_frames_full/E00244_00h27m35s400ms_abrupt_change.jpg,,,chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00244_00h27m35s400ms_abrupt_change.jpg,,GE00643,CH10,CH10-E0004,event_frames/CH10-E0004_00h27m35s400ms_abrupt_change.jpg,
E00245,1655.8,00:27:35.800,00h27m35s800ms,abrupt_change,41395,3784,"2,2,281,121",0.058103,3.3827,0.040335,2.6518,event_frames_full/E00245_00h27m35s800ms_abrupt_change.jpg,event_crops/E00245_00h27m35s800ms_abrupt_change_DETAIL.jpg,"0,0,1736,757",chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00245_00h27m35s800ms_abrupt_change.jpg,event_chunks_5fps/chunk_02/event_crops/E00245_00h27m35s800ms_abrupt_change_DETAIL.jpg,GE00644,CH10,CH10-E0005,event_frames/CH10-E0005_00h27m35s800ms_abrupt_change.jpg,detail_crops/CH10-E0005_00h27m35s800ms_DETAIL.jpg
E00246,1656.4,00:27:36.400,00h27m36s400ms,abrupt_change,41410,3787,"28,42,305,75",0.037344,1.8277,0.036205,1.7642,event_frames_full/E00246_00h27m36s400ms_abrupt_change.jpg,event_crops/E00246_00h27m36s400ms_abrupt_change_DETAIL.jpg,"118,222,1880,481",chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00246_00h27m36s400ms_abrupt_change.jpg,event_chunks_5fps/chunk_02/event_crops/E00246_00h27m36s400ms_abrupt_change_DETAIL.jpg,GE00645,CH10,CH10-E0006,event_frames/CH10-E0006_00h27m36s400ms_abrupt_change.jpg,detail_crops/CH10-E0006_00h27m36s400ms_DETAIL.jpg
E00247,1657.0,00:27:37.000,00h27m37s000ms,stable_change,41425,3790,"28,43,306,79",0.051138,2.721,0.0,0.0,event_frames_full/E00247_00h27m37s000ms_stable_change.jpg,event_crops/E00247_00h27m37s000ms_stable_change_DETAIL.jpg,"118,228,1886,505",chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00247_00h27m37s000ms_stable_change.jpg,event_chunks_5fps/chunk_02/event_crops/E00247_00h27m37s000ms_stable_change_DETAIL.jpg,GE00646,CH10,CH10-E0007,event_frames/CH10-E0007_00h27m37s000ms_stable_change.jpg,detail_crops/CH10-E0007_00h27m37s000ms_DETAIL.jpg
E00248,1657.6,00:27:37.600,00h27m37s600ms,stable_change,41440,3793,"0,2,320,140",0.146362,8.3339,0.003973,0.2078,event_frames_full/E00248_00h27m37s600ms_stable_change.jpg,,,chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00248_00h27m37s600ms_stable_change.jpg,,GE00647,CH10,CH10-E0008,event_frames/CH10-E0008_00h27m37s600ms_stable_change.jpg,
E00249,1662.2,00:27:42.200,00h27m42s200ms,settled,41555,3816,"0,47,64,102",0.009732,0.5431,0.0,0.0,event_frames_full/E00249_00h27m42s200ms_settled.jpg,event_crops/E00249_00h27m42s200ms_settled_DETAIL.jpg,"0,252,434,643",chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00249_00h27m42s200ms_settled.jpg,event_chunks_5fps/chunk_02/event_crops/E00249_00h27m42s200ms_settled_DETAIL.jpg,GE00648,CH10,CH10-E0009,event_frames/CH10-E0009_00h27m42s200ms_settled.jpg,detail_crops/CH10-E0009_00h27m42s200ms_DETAIL.jpg
E00250,1663.4,00:27:43.400,00h27m43s400ms,abrupt_change,41585,3822,"0,0,320,140",0.954866,63.8269,0.955223,63.8881,event_frames_full/E00250_00h27m43s400ms_abrupt_change.jpg,,,chunk_02,event_chunks_5fps/chunk_02/event_frames_full/E00250_00h27m43s400ms_abrupt_change.jpg,,GE00649,CH10,CH10-E0010,event_frames/CH10-E0010_00h27m43s400ms_abrupt_change.jpg,
