id,time_seconds,timestamp,time_slug,kind,source_frame,analysis_frame,analysis_bbox_xyxy,state_changed_area_ratio,state_mean_absdiff,motion_changed_area_ratio,motion_mean_absdiff,full_image,detail_crop,detail_bbox_xyxy,source_chunk,source_full_image,source_detail_crop,global_event_id,chapter_id,chapter_event_id,chapter_full_image,chapter_detail_crop
E00020,1900.4,00:31:40.400,00h31m40s400ms,abrupt_change,47510,507,"37,3,320,140",0.214955,13.8569,0.220536,13.8692,event_frames_full/E00020_00h31m40s400ms_abrupt_change.jpg,,,chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00020_00h31m40s400ms_abrupt_change.jpg,,GE00754,CH11,CH11-E0001,event_frames/CH11-E0001_00h31m40s400ms_abrupt_change.jpg,
E00021,1901.4,00:31:41.400,00h31m41s400ms,settled,47535,512,"246,117,270,131",0.007232,0.555,0.0,0.0,event_frames_full/E00021_00h31m41s400ms_settled.jpg,event_crops/E00021_00h31m41s400ms_settled_DETAIL.jpg,"1426,673,1670,817",chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00021_00h31m41s400ms_settled.jpg,event_chunks_5fps/chunk_03/event_crops/E00021_00h31m41s400ms_settled_DETAIL.jpg,GE00755,CH11,CH11-E0002,event_frames/CH11-E0002_00h31m41s400ms_settled.jpg,detail_crops/CH11-E0002_00h31m41s400ms_DETAIL.jpg
E00022,1902.0,00:31:42.000,00h31m42s000ms,abrupt_change,47550,515,"0,0,320,140",0.457344,40.1198,0.924152,53.8021,event_frames_full/E00022_00h31m42s000ms_abrupt_change.jpg,,,chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00022_00h31m42s000ms_abrupt_change.jpg,,GE00756,CH11,CH11-E0003,event_frames/CH11-E0003_00h31m42s000ms_abrupt_change.jpg,
E00023,1902.6,00:31:42.600,00h31m42s600ms,settled,47565,518,"0,56,53,88",0.006987,0.4979,0.0,0.0002,event_frames_full/E00023_00h31m42s600ms_settled.jpg,event_crops/E00023_00h31m42s600ms_settled_DETAIL.jpg,"0,306,368,559",chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00023_00h31m42s600ms_settled.jpg,event_chunks_5fps/chunk_03/event_crops/E00023_00h31m42s600ms_settled_DETAIL.jpg,GE00757,CH11,CH11-E0004,event_frames/CH11-E0004_00h31m42s600ms_settled.jpg,detail_crops/CH11-E0004_00h31m42s600ms_DETAIL.jpg
E00024,1906.0,00:31:46.000,00h31m46s000ms,abrupt_change,47650,535,"0,2,320,140",0.194107,10.6297,0.193683,10.6535,event_frames_full/E00024_00h31m46s000ms_abrupt_change.jpg,,,chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00024_00h31m46s000ms_abrupt_change.jpg,,GE00758,CH11,CH11-E0005,event_frames/CH11-E0005_00h31m46s000ms_abrupt_change.jpg,
E00025,1906.4,00:31:46.400,00h31m46s400ms,abrupt_change,47660,537,"0,2,310,133",0.064085,4.2353,0.039286,1.9582,event_frames_full/E00025_00h31m46s400ms_abrupt_change.jpg,,,chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00025_00h31m46s400ms_abrupt_change.jpg,,GE00759,CH11,CH11-E0006,event_frames/CH11-E0006_00h31m46s400ms_abrupt_change.jpg,
E00026,1907.0,00:31:47.000,00h31m47s000ms,stable_change,47675,540,"0,40,73,69",0.036138,2.3449,0.0,0.0,event_frames_full/E00026_00h31m47s000ms_stable_change.jpg,event_crops/E00026_00h31m47s000ms_stable_change_DETAIL.jpg,"0,210,488,444",chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00026_00h31m47s000ms_stable_change.jpg,event_chunks_5fps/chunk_03/event_crops/E00026_00h31m47s000ms_stable_change_DETAIL.jpg,GE00760,CH11,CH11-E0007,event_frames/CH11-E0007_00h31m47s000ms_stable_change.jpg,detail_crops/CH11-E0007_00h31m47s000ms_DETAIL.jpg
E00027,1907.4,00:31:47.400,00h31m47s400ms,abrupt_change,47685,542,"0,2,320,140",0.103594,8.8015,0.032701,1.7549,event_frames_full/E00027_00h31m47s400ms_abrupt_change.jpg,,,chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00027_00h31m47s400ms_abrupt_change.jpg,,GE00761,CH11,CH11-E0008,event_frames/CH11-E0008_00h31m47s400ms_abrupt_change.jpg,
E00028,1909.8,00:31:49.800,00h31m49s800ms,abrupt_change,47745,554,"18,19,320,140",0.098884,9.6514,0.098929,9.6027,event_frames_full/E00028_00h31m49s800ms_abrupt_change.jpg,,,chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00028_00h31m49s800ms_abrupt_change.jpg,,GE00762,CH11,CH11-E0009,event_frames/CH11-E0009_00h31m49s800ms_abrupt_change.jpg,
E00029,1910.2,00:31:50.200,00h31m50s200ms,abrupt_change,47755,556,"18,15,320,101",0.099531,9.7388,0.099598,9.6933,event_frames_full/E00029_00h31m50s200ms_abrupt_change.jpg,event_crops/E00029_00h31m50s200ms_abrupt_change_DETAIL.jpg,"58,60,1920,637",chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00029_00h31m50s200ms_abrupt_change.jpg,event_chunks_5fps/chunk_03/event_crops/E00029_00h31m50s200ms_abrupt_change_DETAIL.jpg,GE00763,CH11,CH11-E0010,event_frames/CH11-E0010_00h31m50s200ms_abrupt_change.jpg,detail_crops/CH11-E0010_00h31m50s200ms_DETAIL.jpg
