id,time_seconds,timestamp,time_slug,kind,source_frame,analysis_frame,analysis_bbox_xyxy,state_changed_area_ratio,state_mean_absdiff,motion_changed_area_ratio,motion_mean_absdiff,full_image,detail_crop,detail_bbox_xyxy,source_chunk,source_full_image,source_detail_crop,global_event_id,chapter_id,chapter_event_id,chapter_full_image,chapter_detail_crop
E00091,2009.4,00:33:29.400,00h33m29s400ms,abrupt_change,50235,1052,"0,2,320,137",0.256629,14.7267,0.255759,14.7326,event_frames_full/E00091_00h33m29s400ms_abrupt_change.jpg,,,chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00091_00h33m29s400ms_abrupt_change.jpg,,GE00825,CH12,CH12-E0001,event_frames/CH12-E0001_00h33m29s400ms_abrupt_change.jpg,
E00092,2009.8,00:33:29.800,00h33m29s800ms,abrupt_change,50245,1054,"3,3,320,140",0.099263,5.4348,0.099263,5.4348,event_frames_full/E00092_00h33m29s800ms_abrupt_change.jpg,,,chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00092_00h33m29s800ms_abrupt_change.jpg,,GE00826,CH12,CH12-E0002,event_frames/CH12-E0002_00h33m29s800ms_abrupt_change.jpg,
E00093,2010.2,00:33:30.200,00h33m30s200ms,abrupt_change,50255,1056,"0,2,320,140",0.090156,5.5573,0.089888,5.3411,event_frames_full/E00093_00h33m30s200ms_abrupt_change.jpg,,,chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00093_00h33m30s200ms_abrupt_change.jpg,,GE00827,CH12,CH12-E0003,event_frames/CH12-E0003_00h33m30s200ms_abrupt_change.jpg,
E00094,2010.6,00:33:30.600,00h33m30s600ms,abrupt_change,50265,1058,"0,61,320,140",0.101116,6.529,0.038817,2.5358,event_frames_full/E00094_00h33m30s600ms_abrupt_change.jpg,event_crops/E00094_00h33m30s600ms_abrupt_change_DETAIL.jpg,"0,336,1920,842",chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00094_00h33m30s600ms_abrupt_change.jpg,event_chunks_5fps/chunk_03/event_crops/E00094_00h33m30s600ms_abrupt_change_DETAIL.jpg,GE00828,CH12,CH12-E0004,event_frames/CH12-E0004_00h33m30s600ms_abrupt_change.jpg,detail_crops/CH12-E0004_00h33m30s600ms_DETAIL.jpg
E00095,2013.6,00:33:33.600,00h33m33s600ms,abrupt_change,50340,1073,"28,41,302,138",0.049688,5.5652,0.049397,5.5038,event_frames_full/E00095_00h33m33s600ms_abrupt_change.jpg,event_crops/E00095_00h33m33s600ms_abrupt_change_DETAIL.jpg,"118,216,1862,842",chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00095_00h33m33s600ms_abrupt_change.jpg,event_chunks_5fps/chunk_03/event_crops/E00095_00h33m33s600ms_abrupt_change_DETAIL.jpg,GE00829,CH12,CH12-E0005,event_frames/CH12-E0005_00h33m33s600ms_abrupt_change.jpg,detail_crops/CH12-E0005_00h33m33s600ms_DETAIL.jpg
E00096,2014.0,00:33:34.000,00h33m34s000ms,abrupt_change,50350,1075,"28,61,320,140",0.069933,5.0679,0.069933,5.0679,event_frames_full/E00096_00h33m34s000ms_abrupt_change.jpg,event_crops/E00096_00h33m34s000ms_abrupt_change_DETAIL.jpg,"118,336,1920,842",chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00096_00h33m34s000ms_abrupt_change.jpg,event_chunks_5fps/chunk_03/event_crops/E00096_00h33m34s000ms_abrupt_change_DETAIL.jpg,GE00830,CH12,CH12-E0006,event_frames/CH12-E0006_00h33m34s000ms_abrupt_change.jpg,detail_crops/CH12-E0006_00h33m34s000ms_DETAIL.jpg
E00097,2033.6,00:33:53.600,00h33m53s600ms,motion_progress,50840,1173,"22,6,277,66",0.021429,1.7516,0.018393,1.493,event_frames_full/E00097_00h33m53s600ms_motion_progress.jpg,event_crops/E00097_00h33m53s600ms_motion_progress_DETAIL.jpg,"82,6,1712,426",chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00097_00h33m53s600ms_motion_progress.jpg,event_chunks_5fps/chunk_03/event_crops/E00097_00h33m53s600ms_motion_progress_DETAIL.jpg,GE00831,CH12,CH12-E0007,event_frames/CH12-E0007_00h33m53s600ms_motion_progress.jpg,detail_crops/CH12-E0007_00h33m53s600ms_DETAIL.jpg
E00098,2034.4,00:33:54.400,00h33m54s400ms,settled,50860,1177,"27,61,303,78",0.009397,0.8032,0.0,0.0122,event_frames_full/E00098_00h33m54s400ms_settled.jpg,event_crops/E00098_00h33m54s400ms_settled_DETAIL.jpg,"112,336,1868,499",chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00098_00h33m54s400ms_settled.jpg,event_chunks_5fps/chunk_03/event_crops/E00098_00h33m54s400ms_settled_DETAIL.jpg,GE00832,CH12,CH12-E0008,event_frames/CH12-E0008_00h33m54s400ms_settled.jpg,detail_crops/CH12-E0008_00h33m54s400ms_DETAIL.jpg
E00099,2036.0,00:33:56.000,00h33m56s000ms,motion_progress,50900,1185,"30,51,127,103",0.025937,1.4753,0.025937,1.4601,event_frames_full/E00099_00h33m56s000ms_motion_progress.jpg,event_crops/E00099_00h33m56s000ms_motion_progress_DETAIL.jpg,"130,276,812,649",chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00099_00h33m56s000ms_motion_progress.jpg,event_chunks_5fps/chunk_03/event_crops/E00099_00h33m56s000ms_motion_progress_DETAIL.jpg,GE00833,CH12,CH12-E0009,event_frames/CH12-E0009_00h33m56s000ms_motion_progress.jpg,detail_crops/CH12-E0009_00h33m56s000ms_DETAIL.jpg
E00100,2042.2,00:34:02.200,00h34m02s200ms,settled,51055,1216,"29,69,124,82",0.008594,0.7138,0.000268,0.0171,event_frames_full/E00100_00h34m02s200ms_settled.jpg,event_crops/E00100_00h34m02s200ms_settled_DETAIL.jpg,"124,384,794,523",chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00100_00h34m02s200ms_settled.jpg,event_chunks_5fps/chunk_03/event_crops/E00100_00h34m02s200ms_settled_DETAIL.jpg,GE00834,CH12,CH12-E0010,event_frames/CH12-E0010_00h34m02s200ms_settled.jpg,detail_crops/CH12-E0010_00h34m02s200ms_DETAIL.jpg
