id,time_seconds,timestamp,time_slug,kind,source_frame,analysis_frame,analysis_bbox_xyxy,state_changed_area_ratio,state_mean_absdiff,motion_changed_area_ratio,motion_mean_absdiff,full_image,detail_crop,detail_bbox_xyxy,source_chunk,source_full_image,source_detail_crop,global_event_id,chapter_id,chapter_event_id,chapter_full_image,chapter_detail_crop
E00142,2205.0,00:36:45.000,00h36m45s000ms,abrupt_change,55125,2030,"0,2,320,140",0.15433,8.5885,0.152835,8.3824,event_frames_full/E00142_00h36m45s000ms_abrupt_change.jpg,,,chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00142_00h36m45s000ms_abrupt_change.jpg,,GE00876,CH13,CH13-E0001,event_frames/CH13-E0001_00h36m45s000ms_abrupt_change.jpg,
E00143,2205.4,00:36:45.400,00h36m45s400ms,abrupt_change,55135,2032,"2,2,304,128",0.081719,4.6473,0.081719,4.6462,event_frames_full/E00143_00h36m45s400ms_abrupt_change.jpg,,,chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00143_00h36m45s400ms_abrupt_change.jpg,,GE00877,CH13,CH13-E0002,event_frames/CH13-E0002_00h36m45s400ms_abrupt_change.jpg,
E00144,2205.8,00:36:45.800,00h36m45s800ms,abrupt_change,55145,2034,"0,2,320,140",0.110759,6.8689,0.055781,4.3819,event_frames_full/E00144_00h36m45s800ms_abrupt_change.jpg,,,chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00144_00h36m45s800ms_abrupt_change.jpg,,GE00878,CH13,CH13-E0003,event_frames/CH13-E0003_00h36m45s800ms_abrupt_change.jpg,
E00145,2206.4,00:36:46.400,00h36m46s400ms,abrupt_change,55160,2037,"28,47,320,140",0.127656,7.0893,0.127656,7.0893,event_frames_full/E00145_00h36m46s400ms_abrupt_change.jpg,event_crops/E00145_00h36m46s400ms_abrupt_change_DETAIL.jpg,"118,252,1920,842",chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00145_00h36m46s400ms_abrupt_change.jpg,event_chunks_5fps/chunk_03/event_crops/E00145_00h36m46s400ms_abrupt_change_DETAIL.jpg,GE00879,CH13,CH13-E0004,event_frames/CH13-E0004_00h36m46s400ms_abrupt_change.jpg,detail_crops/CH13-E0004_00h36m46s400ms_DETAIL.jpg
E00146,2210.0,00:36:50.000,00h36m50s000ms,abrupt_change,55250,2055,"0,0,320,140",0.959219,89.9935,0.959219,90.7132,event_frames_full/E00146_00h36m50s000ms_abrupt_change.jpg,,,chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00146_00h36m50s000ms_abrupt_change.jpg,,GE00880,CH13,CH13-E0005,event_frames/CH13-E0005_00h36m50s000ms_abrupt_change.jpg,
E00147,2210.4,00:36:50.400,00h36m50s400ms,abrupt_change,55260,2057,"0,0,320,140",0.916451,33.4894,0.052857,2.7633,event_frames_full/E00147_00h36m50s400ms_abrupt_change.jpg,,,chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00147_00h36m50s400ms_abrupt_change.jpg,,GE00881,CH13,CH13-E0006,event_frames/CH13-E0006_00h36m50s400ms_abrupt_change.jpg,
E00148,2214.4,00:36:54.400,00h36m54s400ms,abrupt_change,55360,2077,"0,0,320,140",0.869821,105.1483,0.871518,105.6098,event_frames_full/E00148_00h36m54s400ms_abrupt_change.jpg,,,chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00148_00h36m54s400ms_abrupt_change.jpg,,GE00882,CH13,CH13-E0007,event_frames/CH13-E0007_00h36m54s400ms_abrupt_change.jpg,
E00149,2214.8,00:36:54.800,00h36m54s800ms,abrupt_change,55370,2079,"2,2,320,140",0.09683,5.4407,0.09683,5.4407,event_frames_full/E00149_00h36m54s800ms_abrupt_change.jpg,,,chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00149_00h36m54s800ms_abrupt_change.jpg,,GE00883,CH13,CH13-E0008,event_frames/CH13-E0008_00h36m54s800ms_abrupt_change.jpg,
E00150,2219.2,00:36:59.200,00h36m59s200ms,abrupt_change,55480,2101,"27,41,162,91",0.053638,3.6768,0.051473,3.2612,event_frames_full/E00150_00h36m59s200ms_abrupt_change.jpg,event_crops/E00150_00h36m59s200ms_abrupt_change_DETAIL.jpg,"112,216,1022,577",chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00150_00h36m59s200ms_abrupt_change.jpg,event_chunks_5fps/chunk_03/event_crops/E00150_00h36m59s200ms_abrupt_change_DETAIL.jpg,GE00884,CH13,CH13-E0009,event_frames/CH13-E0009_00h36m59s200ms_abrupt_change.jpg,detail_crops/CH13-E0009_00h36m59s200ms_DETAIL.jpg
E00151,2219.6,00:36:59.600,00h36m59s600ms,abrupt_change,55490,2103,"27,42,160,91",0.044375,2.7425,0.044487,2.7418,event_frames_full/E00151_00h36m59s600ms_abrupt_change.jpg,event_crops/E00151_00h36m59s600ms_abrupt_change_DETAIL.jpg,"112,222,1010,577",chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00151_00h36m59s600ms_abrupt_change.jpg,event_chunks_5fps/chunk_03/event_crops/E00151_00h36m59s600ms_abrupt_change_DETAIL.jpg,GE00885,CH13,CH13-E0010,event_frames/CH13-E0010_00h36m59s600ms_abrupt_change.jpg,detail_crops/CH13-E0010_00h36m59s600ms_DETAIL.jpg
