segment_id,source_audio_segment,start_ms,end_ms,start,end,confidence_avg,quality_flags,text,chapter_local_start_ms,chapter_local_end_ms
T00399,audio_018,2203000,2207000,00:36:43.000,00:36:47.000,0.645,MEDIUM_CONFIDENCE,¿Es la promesa de las compras?,0,4000
T00400,audio_018,2207000,2209000,00:36:47.000,00:36:49.000,0.4503,LOW_CONFIDENCE,"Sí, puede.",4000,6000
T00401,audio_018,2209000,2211000,00:36:49.000,00:36:51.000,0.5232,LOW_CONFIDENCE,Se puede agregar una nueva compra.,6000,8000
T00402,audio_018,2211000,2222000,00:36:51.000,00:37:02.000,0.6795,MEDIUM_CONFIDENCE,Se puede agregar una nueva compra para solicitar autorización o si ya no hemos visto con este proveedor.,8000,19000
T00403,audio_018,2222000,2225000,00:37:02.000,00:37:05.000,0.4255,LOW_CONFIDENCE,Aquí le puedo hacer el que le da.,19000,22000
T00404,audio_018,2231000,2233000,00:37:11.000,00:37:13.000,0.5819,MEDIUM_CONFIDENCE,Y eso.,28000,30000
T00405,audio_018,2233000,2235000,00:37:13.000,00:37:15.000,0.3112,LOW_CONFIDENCE,El número de la picha.,30000,32000
T00406,audio_018,2235000,2237000,00:37:15.000,00:37:17.000,0.323,LOW_CONFIDENCE,Presente el piso.,32000,34000
T00407,audio_018,2239000,2241000,00:37:19.000,00:37:21.000,0.4737,LOW_CONFIDENCE,Ya me quiero 10.,36000,38000
T00408,audio_018,2241000,2243000,00:37:21.000,00:37:23.000,0.4601,LOW_CONFIDENCE,Le da a Javier.,38000,40000
T00409,audio_018,2243000,2245000,00:37:23.000,00:37:25.000,0.8377,,Y aquí está.,40000,42000
T00410,audio_018,2245000,2249000,00:37:25.000,00:37:29.000,0.8399,,Y se genera la orden de compras.,42000,46000
T00411,audio_018,2249000,2253000,00:37:29.000,00:37:33.000,0.5559,MEDIUM_CONFIDENCE,Ya le cuesta como una compra en esa lecida.,46000,50000
T00412,audio_018,2255000,2259000,00:37:35.000,00:37:39.000,0.9132,,Y está la opción de que yo ya tengo la compra.,52000,56000
T00413,audio_018,2259000,2263000,00:37:39.000,00:37:43.000,0.6308,MEDIUM_CONFIDENCE,Y le da un encaje menor de la taja chica.,56000,60000
T00414,audio_018,2263000,2265000,00:37:43.000,00:37:45.000,0.5317,LOW_CONFIDENCE,Pero en sí la compra.,60000,62000
T00415,audio_018,2265000,2270000,00:37:45.000,00:37:50.000,0.789,,Entonces selecciono el proveedor.,62000,67000
T00416,audio_018,2270000,2272000,00:37:50.000,00:37:52.000,0.3568,LOW_CONFIDENCE,Y el pasado.,67000,69000
T00417,audio_018,2272000,2276000,00:37:52.000,00:37:56.000,0.6662,MEDIUM_CONFIDENCE,Aquí tiene que subir.,69000,73000
T00418,audio_018,2276000,2280000,00:37:56.000,00:38:00.000,0.6974,MEDIUM_CONFIDENCE,Esto no está bueno pero sí tiene que subir la factura.,73000,77000
T00419,audio_019,2280000,2287000,00:38:00.000,00:38:07.000,0.3775,LOW_CONFIDENCE,"Es por cobra, entonces, la tiente subir, van a estar abajo.",77000,84000
T00420,audio_019,2293000,2298000,00:38:13.000,00:38:18.000,0.4285,LOW_CONFIDENCE,"Y, por la exigencia.",90000,95000
T00421,audio_019,2301000,2309000,00:38:21.000,00:38:29.000,0.5708,MEDIUM_CONFIDENCE,"Aquí están las precios por los que se han estado comprando, como el historial de Cocteau.",98000,106000
