id,time_seconds,timestamp,time_slug,kind,source_frame,analysis_frame,analysis_bbox_xyxy,state_changed_area_ratio,state_mean_absdiff,motion_changed_area_ratio,motion_mean_absdiff,full_image,detail_crop,detail_bbox_xyxy,source_chunk,source_full_image,source_detail_crop,global_event_id,chapter_id,chapter_event_id,chapter_full_image,chapter_detail_crop
E00234,2395.6,00:39:55.600,00h39m55s600ms,settled,59890,2983,"10,68,47,123",0.004777,0.5706,0.0,0.0074,event_frames_full/E00234_00h39m55s600ms_settled.jpg,event_crops/E00234_00h39m55s600ms_settled_DETAIL.jpg,"10,378,332,769",chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00234_00h39m55s600ms_settled.jpg,event_chunks_5fps/chunk_03/event_crops/E00234_00h39m55s600ms_settled_DETAIL.jpg,GE00968,CH14,CH14-E0001,event_frames/CH14-E0001_00h39m55s600ms_settled.jpg,detail_crops/CH14-E0001_00h39m55s600ms_DETAIL.jpg
E00235,2397.0,00:39:57.000,00h39m57s000ms,abrupt_change,59925,2990,"0,2,320,140",0.234286,12.7617,0.232857,12.7406,event_frames_full/E00235_00h39m57s000ms_abrupt_change.jpg,,,chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00235_00h39m57s000ms_abrupt_change.jpg,,GE00969,CH14,CH14-E0002,event_frames/CH14-E0002_00h39m57s000ms_abrupt_change.jpg,
E00236,2397.4,00:39:57.400,00h39m57s400ms,abrupt_change,59935,2992,"2,2,281,119",0.071652,4.2354,0.060513,3.186,event_frames_full/E00236_00h39m57s400ms_abrupt_change.jpg,event_crops/E00236_00h39m57s400ms_abrupt_change_DETAIL.jpg,"0,0,1736,745",chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00236_00h39m57s400ms_abrupt_change.jpg,event_chunks_5fps/chunk_03/event_crops/E00236_00h39m57s400ms_abrupt_change_DETAIL.jpg,GE00970,CH14,CH14-E0003,event_frames/CH14-E0003_00h39m57s400ms_abrupt_change.jpg,detail_crops/CH14-E0003_00h39m57s400ms_DETAIL.jpg
E00237,2398.2,00:39:58.200,00h39m58s200ms,stable_change,59955,2996,"0,0,320,140",0.961004,120.8846,0.003371,0.1042,event_frames_full/E00237_00h39m58s200ms_stable_change.jpg,,,chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00237_00h39m58s200ms_stable_change.jpg,,GE00971,CH14,CH14-E0004,event_frames/CH14-E0004_00h39m58s200ms_stable_change.jpg,
E00238,2399.2,00:39:59.200,00h39m59s200ms,abrupt_change,59980,3001,"0,0,320,140",0.960915,116.939,0.960915,116.9652,event_frames_full/E00238_00h39m59s200ms_abrupt_change.jpg,,,chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00238_00h39m59s200ms_abrupt_change.jpg,,GE00972,CH14,CH14-E0005,event_frames/CH14-E0005_00h39m59s200ms_abrupt_change.jpg,
E00239,2405.4,00:40:05.400,00h40m05s400ms,settled,60135,3032,"111,63,289,140",0.01346,0.9421,0.0,0.0,event_frames_full/E00239_00h40m05s400ms_settled.jpg,event_crops/E00239_00h40m05s400ms_settled_DETAIL.jpg,"616,348,1784,842",chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00239_00h40m05s400ms_settled.jpg,event_chunks_5fps/chunk_03/event_crops/E00239_00h40m05s400ms_settled_DETAIL.jpg,GE00973,CH14,CH14-E0006,event_frames/CH14-E0006_00h40m05s400ms_settled.jpg,detail_crops/CH14-E0006_00h40m05s400ms_DETAIL.jpg
E00240,2409.0,00:40:09.000,00h40m09s000ms,motion_progress,60225,3050,"33,25,296,140",0.029777,2.7186,0.027277,2.6697,event_frames_full/E00240_00h40m09s000ms_motion_progress.jpg,event_crops/E00240_00h40m09s000ms_motion_progress_DETAIL.jpg,"148,120,1826,842",chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00240_00h40m09s000ms_motion_progress.jpg,event_chunks_5fps/chunk_03/event_crops/E00240_00h40m09s000ms_motion_progress_DETAIL.jpg,GE00974,CH14,CH14-E0007,event_frames/CH14-E0007_00h40m09s000ms_motion_progress.jpg,detail_crops/CH14-E0007_00h40m09s000ms_DETAIL.jpg
E00241,2409.4,00:40:09.400,00h40m09s400ms,abrupt_change,60235,3052,"31,12,296,140",0.122455,7.2888,0.122455,7.2888,event_frames_full/E00241_00h40m09s400ms_abrupt_change.jpg,,,chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00241_00h40m09s400ms_abrupt_change.jpg,,GE00975,CH14,CH14-E0008,event_frames/CH14-E0008_00h40m09s400ms_abrupt_change.jpg,
E00242,2410.0,00:40:10.000,00h40m10s000ms,stable_change,60250,3055,"36,12,285,140",0.202254,6.7966,0.0,0.0095,event_frames_full/E00242_00h40m10s000ms_stable_change.jpg,event_crops/E00242_00h40m10s000ms_stable_change_DETAIL.jpg,"166,42,1760,842",chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00242_00h40m10s000ms_stable_change.jpg,event_chunks_5fps/chunk_03/event_crops/E00242_00h40m10s000ms_stable_change_DETAIL.jpg,GE00976,CH14,CH14-E0009,event_frames/CH14-E0009_00h40m10s000ms_stable_change.jpg,detail_crops/CH14-E0009_00h40m10s000ms_DETAIL.jpg
E00243,2410.4,00:40:10.400,00h40m10s400ms,abrupt_change,60260,3057,"34,17,279,140",0.070312,4.6371,0.070312,4.6371,event_frames_full/E00243_00h40m10s400ms_abrupt_change.jpg,event_crops/E00243_00h40m10s400ms_abrupt_change_DETAIL.jpg,"154,72,1724,842",chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00243_00h40m10s400ms_abrupt_change.jpg,event_chunks_5fps/chunk_03/event_crops/E00243_00h40m10s400ms_abrupt_change_DETAIL.jpg,GE00977,CH14,CH14-E0010,event_frames/CH14-E0010_00h40m10s400ms_abrupt_change.jpg,detail_crops/CH14-E0010_00h40m10s400ms_DETAIL.jpg
E00244,2411.0,00:40:11.000,00h40m11s000ms,stable_change,60275,3060,"30,21,297,140",0.142656,7.2925,0.0,0.0156,event_frames_full/E00244_00h40m11s000ms_stable_change.jpg,event_crops/E00244_00h40m11s000ms_stable_change_DETAIL.jpg,"130,96,1832,842",chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00244_00h40m11s000ms_stable_change.jpg,event_chunks_5fps/chunk_03/event_crops/E00244_00h40m11s000ms_stable_change_DETAIL.jpg,GE00978,CH14,CH14-E0011,event_frames/CH14-E0011_00h40m11s000ms_stable_change.jpg,detail_crops/CH14-E0011_00h40m11s000ms_DETAIL.jpg
E00245,2413.0,00:40:13.000,00h40m13s000ms,settled,60325,3070,"111,63,289,140",0.013594,0.7913,0.0,0.0,event_frames_full/E00245_00h40m13s000ms_settled.jpg,event_crops/E00245_00h40m13s000ms_settled_DETAIL.jpg,"616,348,1784,842",chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00245_00h40m13s000ms_settled.jpg,event_chunks_5fps/chunk_03/event_crops/E00245_00h40m13s000ms_settled_DETAIL.jpg,GE00979,CH14,CH14-E0012,event_frames/CH14-E0012_00h40m13s000ms_settled.jpg,detail_crops/CH14-E0012_00h40m13s000ms_DETAIL.jpg
E00246,2413.6,00:40:13.600,00h40m13s600ms,abrupt_change,60340,3073,"34,44,320,140",0.040915,2.5364,0.040915,2.5374,event_frames_full/E00246_00h40m13s600ms_abrupt_change.jpg,event_crops/E00246_00h40m13s600ms_abrupt_change_DETAIL.jpg,"154,234,1920,842",chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00246_00h40m13s600ms_abrupt_change.jpg,event_chunks_5fps/chunk_03/event_crops/E00246_00h40m13s600ms_abrupt_change_DETAIL.jpg,GE00980,CH14,CH14-E0013,event_frames/CH14-E0013_00h40m13s600ms_abrupt_change.jpg,detail_crops/CH14-E0013_00h40m13s600ms_DETAIL.jpg
E00247,2434.8,00:40:34.800,00h40m34s800ms,settled,60870,3179,"35,73,79,98",0.006741,0.7369,0.0,0.0,event_frames_full/E00247_00h40m34s800ms_settled.jpg,event_crops/E00247_00h40m34s800ms_settled_DETAIL.jpg,"160,409,524,619",chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00247_00h40m34s800ms_settled.jpg,event_chunks_5fps/chunk_03/event_crops/E00247_00h40m34s800ms_settled_DETAIL.jpg,GE00981,CH14,CH14-E0014,event_frames/CH14-E0014_00h40m34s800ms_settled.jpg,detail_crops/CH14-E0014_00h40m34s800ms_DETAIL.jpg
E00248,2437.2,00:40:37.200,00h40m37s200ms,abrupt_change,60930,3191,"0,0,320,140",0.959286,118.3131,0.959286,118.3935,event_frames_full/E00248_00h40m37s200ms_abrupt_change.jpg,,,chunk_03,event_chunks_5fps/chunk_03/event_frames_full/E00248_00h40m37s200ms_abrupt_change.jpg,,GE00982,CH14,CH14-E0015,event_frames/CH14-E0015_00h40m37s200ms_abrupt_change.jpg,
