id,time_seconds,timestamp,time_slug,kind,source_frame,analysis_frame,analysis_bbox_xyxy,state_changed_area_ratio,state_mean_absdiff,motion_changed_area_ratio,motion_mean_absdiff,full_image,detail_crop,detail_bbox_xyxy,source_chunk,source_full_image,source_detail_crop,global_event_id,chapter_id,chapter_event_id,chapter_full_image,chapter_detail_crop
E00024,2728.0,00:45:28.000,00h45m28s000ms,abrupt_change,68200,145,"0,0,320,140",0.918817,45.5669,0.743304,45.211,event_frames_full/E00024_00h45m28s000ms_abrupt_change.jpg,,,chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00024_00h45m28s000ms_abrupt_change.jpg,,GE01120,CH15,CH15-E0001,event_frames/CH15-E0001_00h45m28s000ms_abrupt_change.jpg,
E00025,2729.0,00:45:29.000,00h45m29s000ms,abrupt_change,68225,150,"37,0,320,140",0.212746,16.4077,0.212165,16.4429,event_frames_full/E00025_00h45m29s000ms_abrupt_change.jpg,,,chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00025_00h45m29s000ms_abrupt_change.jpg,,GE01121,CH15,CH15-E0002,event_frames/CH15-E0002_00h45m29s000ms_abrupt_change.jpg,
E00026,2729.4,00:45:29.400,00h45m29s400ms,abrupt_change,68235,152,"45,0,320,140",0.151071,7.646,0.105112,7.6729,event_frames_full/E00026_00h45m29s400ms_abrupt_change.jpg,,,chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00026_00h45m29s400ms_abrupt_change.jpg,,GE01122,CH15,CH15-E0003,event_frames/CH15-E0003_00h45m29s400ms_abrupt_change.jpg,
E00027,2729.8,00:45:29.800,00h45m29s800ms,abrupt_change,68245,154,"37,0,320,140",0.136763,8.3471,0.136763,8.3471,event_frames_full/E00027_00h45m29s800ms_abrupt_change.jpg,,,chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00027_00h45m29s800ms_abrupt_change.jpg,,GE01123,CH15,CH15-E0004,event_frames/CH15-E0004_00h45m29s800ms_abrupt_change.jpg,
E00028,2730.4,00:45:30.400,00h45m30s400ms,stable_change,68260,157,"37,0,320,138",0.117679,6.957,0.0,0.0471,event_frames_full/E00028_00h45m30s400ms_stable_change.jpg,,,chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00028_00h45m30s400ms_stable_change.jpg,,GE01124,CH15,CH15-E0005,event_frames/CH15-E0005_00h45m30s400ms_stable_change.jpg,
E00029,2730.8,00:45:30.800,00h45m30s800ms,abrupt_change,68270,159,"37,0,320,140",0.156473,11.3618,0.113996,9.0045,event_frames_full/E00029_00h45m30s800ms_abrupt_change.jpg,,,chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00029_00h45m30s800ms_abrupt_change.jpg,,GE01125,CH15,CH15-E0006,event_frames/CH15-E0006_00h45m30s800ms_abrupt_change.jpg,
E00030,2731.2,00:45:31.200,00h45m31s200ms,abrupt_change,68280,161,"44,0,320,140",0.096272,7.3023,0.094621,7.4225,event_frames_full/E00030_00h45m31s200ms_abrupt_change.jpg,,,chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00030_00h45m31s200ms_abrupt_change.jpg,,GE01126,CH15,CH15-E0007,event_frames/CH15-E0007_00h45m31s200ms_abrupt_change.jpg,
E00031,2731.6,00:45:31.600,00h45m31s600ms,abrupt_change,68290,163,"44,0,320,140",0.16567,7.5348,0.16567,7.5348,event_frames_full/E00031_00h45m31s600ms_abrupt_change.jpg,,,chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00031_00h45m31s600ms_abrupt_change.jpg,,GE01127,CH15,CH15-E0008,event_frames/CH15-E0008_00h45m31s600ms_abrupt_change.jpg,
E00032,2732.2,00:45:32.200,00h45m32s200ms,stable_change,68305,166,"37,0,320,137",0.158929,8.7383,0.0,0.0117,event_frames_full/E00032_00h45m32s200ms_stable_change.jpg,,,chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00032_00h45m32s200ms_stable_change.jpg,,GE01128,CH15,CH15-E0009,event_frames/CH15-E0009_00h45m32s200ms_stable_change.jpg,
E00033,2733.0,00:45:33.000,00h45m33s000ms,abrupt_change,68325,170,"37,0,320,136",0.228348,13.5787,0.225781,13.569,event_frames_full/E00033_00h45m33s000ms_abrupt_change.jpg,,,chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00033_00h45m33s000ms_abrupt_change.jpg,,GE01129,CH15,CH15-E0010,event_frames/CH15-E0010_00h45m33s000ms_abrupt_change.jpg,
E00034,2733.6,00:45:33.600,00h45m33s600ms,stable_change,68340,173,"38,2,320,132",0.097344,5.7402,0.0,0.0,event_frames_full/E00034_00h45m33s600ms_stable_change.jpg,,,chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00034_00h45m33s600ms_stable_change.jpg,,GE01130,CH15,CH15-E0011,event_frames/CH15-E0011_00h45m33s600ms_stable_change.jpg,
E00035,2734.6,00:45:34.600,00h45m34s600ms,abrupt_change,68365,178,"37,5,320,140",0.704018,62.3431,0.703884,62.3904,event_frames_full/E00035_00h45m34s600ms_abrupt_change.jpg,,,chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00035_00h45m34s600ms_abrupt_change.jpg,,GE01131,CH15,CH15-E0012,event_frames/CH15-E0012_00h45m34s600ms_abrupt_change.jpg,
E00036,2735.2,00:45:35.200,00h45m35s200ms,abrupt_change,68380,181,"38,3,320,140",0.638571,51.3429,0.520246,42.6084,event_frames_full/E00036_00h45m35s200ms_abrupt_change.jpg,,,chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00036_00h45m35s200ms_abrupt_change.jpg,,GE01132,CH15,CH15-E0013,event_frames/CH15-E0013_00h45m35s200ms_abrupt_change.jpg,
