segment_id,source_audio_segment,start_ms,end_ms,start,end,confidence_avg,quality_flags,text,chapter_local_start_ms,chapter_local_end_ms
T00504,audio_022,2728360,2732880,00:45:28.360,00:45:32.880,0.4859,LOW_CONFIDENCE,"Me dirán, lo que ha habido envenimiento.",360,4880
T00505,audio_022,2735080,2738560,00:45:35.080,00:45:38.560,0.863,,"Y acá me da la opción de dónde voy a descartar,",7080,10560
T00506,audio_022,2738600,2742080,00:45:38.600,00:45:42.080,0.5943,MEDIUM_CONFIDENCE,a hacer la descartada de alimentaria general.,10600,14080
T00507,audio_022,2745160,2747400,00:45:45.160,00:45:47.400,0.8276,,"También me da la opción de la plantilla,",17160,19400
T00508,audio_022,2747440,2750400,00:45:47.440,00:45:50.400,0.729,,"es que es lo que le mencionaste, puedo hablar de la cotización.",19440,22400
T00509,audio_022,2752600,2755520,00:45:52.600,00:45:55.520,0.9144,,Y que va a salir de la alimentaria general.,24600,27520
T00510,audio_022,2755920,2760000,00:45:55.920,00:46:00.000,0.588,MEDIUM_CONFIDENCE,Veamos que quiero esta cotización. Me jala el texto y lo que está cotización.,27920,32000
T00511,audio_023,2760000,2764000,00:46:00.000,00:46:04.000,0.5915,MEDIUM_CONFIDENCE,Y le desolucionara y me le da la destaca.,32000,36000
T00512,audio_023,2764000,2766000,00:46:04.000,00:46:06.000,0.7055,,Ok.,36000,38000
T00513,audio_023,2766000,2790000,00:46:06.000,00:46:30.000,0.4865,LOW_CONFIDENCE,Y me da la destaca.,38000,62000
T00514,audio_023,2790000,2818000,00:46:30.000,00:46:58.000,0.5951,MEDIUM_CONFIDENCE,Y le da la destaca.,62000,90000
T00515,audio_023,2818000,2830000,00:46:58.000,00:47:10.000,0.6266,MEDIUM_CONFIDENCE,"Acá se pide lotes, si es parturada o no, porque hay unos mísumos que son para uso interro.",90000,102000
T00516,audio_023,2830000,2848000,00:47:10.000,00:47:28.000,0.6782,MEDIUM_CONFIDENCE,"Acá tenemos los estudios, nosotros ya tenemos un estado de estudios, que es lo que nos sale allá, solo para hablar.",102000,120000
T00517,audio_023,2848000,2862000,00:47:28.000,00:47:42.000,0.7156,,"En honorarios, aquí está la opción donde tenemos la creación del médico con sus laborales, y que solamente los tira una localización para poder asalar el médico.",120000,134000
T00518,audio_023,2862000,2878000,00:47:42.000,00:47:58.000,0.5924,MEDIUM_CONFIDENCE,Aquí le puedo dar seguimiento.,134000,150000
T00519,audio_024,2880000,2887000,00:48:00.000,00:48:07.000,0.631,MEDIUM_CONFIDENCE,"- ¿Estás creando un horario? - Ajá, en un horario de seguimiento, esta no soy buena.",152000,159000
T00520,audio_024,2887000,2891000,00:48:07.000,00:48:11.000,0.6839,MEDIUM_CONFIDENCE,- ¿Qué le va a tener en el puesto? - Sí.,159000,163000
T00521,audio_024,2891000,2897000,00:48:11.000,00:48:17.000,0.436,LOW_CONFIDENCE,"- Ah, acá. - No lo sé, quiero que te quiera en la chica.",163000,169000
T00522,audio_024,2908000,2938000,00:48:28.000,00:48:58.000,0.878,POSSIBLE_REPETITION,"- No me parece el horario, no me parece lo que daron. - No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no,",180000,210000
T00523,audio_024,2938000,2949000,00:48:58.000,00:49:09.000,0.4659,LOW_CONFIDENCE,"- ¿Qué es el servicio? - Esa es una de servicios que ya vimos, hospitalización,",210000,221000
T00524,audio_024,2949000,2958000,00:49:09.000,00:49:18.000,0.6215,MEDIUM_CONFIDENCE,"lo de ratrilles, el servicio de bomba, un dual, depuración o lo que se llama.",221000,230000
T00525,audio_024,2958000,2962000,00:49:18.000,00:49:22.000,0.6008,MEDIUM_CONFIDENCE,"En cuanto a tarifas, eso es lo que va a tener.",230000,234000
T00526,audio_024,2962000,2969000,00:49:22.000,00:49:29.000,0.5065,LOW_CONFIDENCE,"- ¿Tengan aquí los usuarios? ¿Permisos usar? Esto no es buena. - No, pero eso es...",234000,241000
T00527,audio_024,2969000,2977000,00:49:29.000,00:49:37.000,0.6379,MEDIUM_CONFIDENCE,"- Aquí tienen la parte de descuentos, que es el momento que hagan las creaciones de descuentos,",241000,249000
T00528,audio_024,2977000,2988000,00:49:37.000,00:49:48.000,0.7415,,"que me decían, ""Va, necesito que tenga un perfil de descuento, que sólo tenga 10% para los servicios,",249000,260000
