id,time_seconds,timestamp,time_slug,kind,source_frame,analysis_frame,analysis_bbox_xyxy,state_changed_area_ratio,state_mean_absdiff,motion_changed_area_ratio,motion_mean_absdiff,full_image,detail_crop,detail_bbox_xyxy,source_chunk,source_full_image,source_detail_crop,global_event_id,chapter_id,chapter_event_id,chapter_full_image,chapter_detail_crop
E00172,2985.0,00:49:45.000,00h49m45s000ms,settled,74625,1430,"39,86,138,97",0.003415,0.9614,0.0,0.0,event_frames_full/E00172_00h49m45s000ms_settled.jpg,event_crops/E00172_00h49m45s000ms_settled_DETAIL.jpg,"184,487,878,613",chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00172_00h49m45s000ms_settled.jpg,event_chunks_5fps/chunk_04/event_crops/E00172_00h49m45s000ms_settled_DETAIL.jpg,GE01268,CH16,CH16-E0001,event_frames/CH16-E0001_00h49m45s000ms_settled.jpg,detail_crops/CH16-E0001_00h49m45s000ms_DETAIL.jpg
E00173,2986.2,00:49:46.200,00h49m46s200ms,settled,74655,1436,"39,86,138,97",0.003415,0.9198,0.0,0.0,event_frames_full/E00173_00h49m46s200ms_settled.jpg,event_crops/E00173_00h49m46s200ms_settled_DETAIL.jpg,"184,487,878,613",chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00173_00h49m46s200ms_settled.jpg,event_chunks_5fps/chunk_04/event_crops/E00173_00h49m46s200ms_settled_DETAIL.jpg,GE01269,CH16,CH16-E0002,event_frames/CH16-E0002_00h49m46s200ms_settled.jpg,detail_crops/CH16-E0002_00h49m46s200ms_DETAIL.jpg
E00174,2998.0,00:49:58.000,00h49m58s000ms,settled,74950,1495,"39,85,62,98",0.003527,0.9617,0.0,0.0034,event_frames_full/E00174_00h49m58s000ms_settled.jpg,event_crops/E00174_00h49m58s000ms_settled_DETAIL.jpg,"184,481,422,619",chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00174_00h49m58s000ms_settled.jpg,event_chunks_5fps/chunk_04/event_crops/E00174_00h49m58s000ms_settled_DETAIL.jpg,GE01270,CH16,CH16-E0003,event_frames/CH16-E0003_00h49m58s000ms_settled.jpg,detail_crops/CH16-E0003_00h49m58s000ms_DETAIL.jpg
E00175,3000.0,00:50:00.000,00h50m00s000ms,abrupt_change,75000,1505,"28,12,320,140",0.136942,7.7379,0.138103,7.7382,event_frames_full/E00175_00h50m00s000ms_abrupt_change.jpg,,,chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00175_00h50m00s000ms_abrupt_change.jpg,,GE01271,CH16,CH16-E0004,event_frames/CH16-E0004_00h50m00s000ms_abrupt_change.jpg,
E00176,3000.4,00:50:00.400,00h50m00s400ms,abrupt_change,75010,1507,"31,12,320,140",0.115268,6.7917,0.10654,5.8422,event_frames_full/E00176_00h50m00s400ms_abrupt_change.jpg,,,chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00176_00h50m00s400ms_abrupt_change.jpg,,GE01272,CH16,CH16-E0005,event_frames/CH16-E0005_00h50m00s400ms_abrupt_change.jpg,
E00177,3001.2,00:50:01.200,00h50m01s200ms,settled,75030,1511,"39,44,51,55",0.002835,1.0389,0.0,0.092,event_frames_full/E00177_00h50m01s200ms_settled.jpg,event_crops/E00177_00h50m01s200ms_settled_DETAIL.jpg,"184,234,356,360",chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00177_00h50m01s200ms_settled.jpg,event_chunks_5fps/chunk_04/event_crops/E00177_00h50m01s200ms_settled_DETAIL.jpg,GE01273,CH16,CH16-E0006,event_frames/CH16-E0006_00h50m01s200ms_settled.jpg,detail_crops/CH16-E0006_00h50m01s200ms_DETAIL.jpg
E00178,3002.4,00:50:02.400,00h50m02s400ms,settled,75060,1517,"39,71,52,82",0.003036,0.9758,0.0,0.0184,event_frames_full/E00178_00h50m02s400ms_settled.jpg,event_crops/E00178_00h50m02s400ms_settled_DETAIL.jpg,"184,397,362,523",chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00178_00h50m02s400ms_settled.jpg,event_chunks_5fps/chunk_04/event_crops/E00178_00h50m02s400ms_settled_DETAIL.jpg,GE01274,CH16,CH16-E0007,event_frames/CH16-E0007_00h50m02s400ms_settled.jpg,detail_crops/CH16-E0007_00h50m02s400ms_DETAIL.jpg
E00179,3004.4,00:50:04.400,00h50m04s400ms,settled,75110,1527,"39,71,52,82",0.003103,0.9494,0.0,0.0016,event_frames_full/E00179_00h50m04s400ms_settled.jpg,event_crops/E00179_00h50m04s400ms_settled_DETAIL.jpg,"184,397,362,523",chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00179_00h50m04s400ms_settled.jpg,event_chunks_5fps/chunk_04/event_crops/E00179_00h50m04s400ms_settled_DETAIL.jpg,GE01275,CH16,CH16-E0008,event_frames/CH16-E0008_00h50m04s400ms_settled.jpg,detail_crops/CH16-E0008_00h50m04s400ms_DETAIL.jpg
E00180,3010.4,00:50:10.400,00h50m10s400ms,abrupt_change,75260,1557,"54,13,320,140",0.072165,4.4833,0.06971,4.4336,event_frames_full/E00180_00h50m10s400ms_abrupt_change.jpg,event_crops/E00180_00h50m10s400ms_abrupt_change_DETAIL.jpg,"274,48,1920,842",chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00180_00h50m10s400ms_abrupt_change.jpg,event_chunks_5fps/chunk_04/event_crops/E00180_00h50m10s400ms_abrupt_change_DETAIL.jpg,GE01276,CH16,CH16-E0009,event_frames/CH16-E0009_00h50m10s400ms_abrupt_change.jpg,detail_crops/CH16-E0009_00h50m10s400ms_DETAIL.jpg
E00181,3011.4,00:50:11.400,00h50m11s400ms,motion_progress,75285,1562,"28,16,320,140",0.089018,6.5077,0.005313,1.1454,event_frames_full/E00181_00h50m11s400ms_motion_progress.jpg,,,chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00181_00h50m11s400ms_motion_progress.jpg,,GE01277,CH16,CH16-E0010,event_frames/CH16-E0010_00h50m11s400ms_motion_progress.jpg,
