id,time_seconds,timestamp,time_slug,kind,source_frame,analysis_frame,analysis_bbox_xyxy,state_changed_area_ratio,state_mean_absdiff,motion_changed_area_ratio,motion_mean_absdiff,full_image,detail_crop,detail_bbox_xyxy,source_chunk,source_full_image,source_detail_crop,global_event_id,chapter_id,chapter_event_id,chapter_full_image,chapter_detail_crop
E00216,3070.0,00:51:10.000,00h51m10s000ms,settled,76750,1855,"0,56,53,92",0.009464,1.2113,0.0,0.0002,event_frames_full/E00216_00h51m10s000ms_settled.jpg,event_crops/E00216_00h51m10s000ms_settled_DETAIL.jpg,"0,306,368,583",chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00216_00h51m10s000ms_settled.jpg,event_chunks_5fps/chunk_04/event_crops/E00216_00h51m10s000ms_settled_DETAIL.jpg,GE01312,CH17,CH17-E0001,event_frames/CH17-E0001_00h51m10s000ms_settled.jpg,detail_crops/CH17-E0001_00h51m10s000ms_DETAIL.jpg
E00217,3072.0,00:51:12.000,00h51m12s000ms,abrupt_change,76800,1865,"28,14,320,140",0.286384,12.8794,0.286629,12.8786,event_frames_full/E00217_00h51m12s000ms_abrupt_change.jpg,,,chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00217_00h51m12s000ms_abrupt_change.jpg,,GE01313,CH17,CH17-E0002,event_frames/CH17-E0002_00h51m12s000ms_abrupt_change.jpg,
E00218,3072.4,00:51:12.400,00h51m12s400ms,abrupt_change,76810,1867,"28,14,320,140",0.191719,10.5321,0.191719,10.5321,event_frames_full/E00218_00h51m12s400ms_abrupt_change.jpg,,,chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00218_00h51m12s400ms_abrupt_change.jpg,,GE01314,CH17,CH17-E0003,event_frames/CH17-E0003_00h51m12s400ms_abrupt_change.jpg,
E00219,3073.0,00:51:13.000,00h51m13s000ms,stable_change,76825,1870,"27,14,320,137",0.271674,12.221,0.0,0.0176,event_frames_full/E00219_00h51m13s000ms_stable_change.jpg,,,chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00219_00h51m13s000ms_stable_change.jpg,,GE01315,CH17,CH17-E0004,event_frames/CH17-E0004_00h51m13s000ms_stable_change.jpg,
E00220,3074.2,00:51:14.200,00h51m14s200ms,settled,76855,1876,"37,21,64,79",0.008147,0.653,0.002478,0.1795,event_frames_full/E00220_00h51m14s200ms_settled.jpg,event_crops/E00220_00h51m14s200ms_settled_DETAIL.jpg,"172,96,434,505",chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00220_00h51m14s200ms_settled.jpg,event_chunks_5fps/chunk_04/event_crops/E00220_00h51m14s200ms_settled_DETAIL.jpg,GE01316,CH17,CH17-E0005,event_frames/CH17-E0005_00h51m14s200ms_settled.jpg,detail_crops/CH17-E0005_00h51m14s200ms_DETAIL.jpg
E00221,3075.2,00:51:15.200,00h51m15s200ms,motion_progress,76880,1881,"28,21,70,93",0.013036,1.7668,0.012478,1.7593,event_frames_full/E00221_00h51m15s200ms_motion_progress.jpg,event_crops/E00221_00h51m15s200ms_motion_progress_DETAIL.jpg,"118,96,470,589",chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00221_00h51m15s200ms_motion_progress.jpg,event_chunks_5fps/chunk_04/event_crops/E00221_00h51m15s200ms_motion_progress_DETAIL.jpg,GE01317,CH17,CH17-E0006,event_frames/CH17-E0006_00h51m15s200ms_motion_progress.jpg,detail_crops/CH17-E0006_00h51m15s200ms_DETAIL.jpg
E00222,3076.0,00:51:16.000,00h51m16s000ms,abrupt_change,76900,1885,"0,2,320,140",0.245915,13.0437,0.245915,13.0437,event_frames_full/E00222_00h51m16s000ms_abrupt_change.jpg,,,chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00222_00h51m16s000ms_abrupt_change.jpg,,GE01318,CH17,CH17-E0007,event_frames/CH17-E0007_00h51m16s000ms_abrupt_change.jpg,
E00223,3076.6,00:51:16.600,00h51m16s600ms,abrupt_change,76915,1888,"2,2,320,140",0.153772,7.4455,0.123571,5.7144,event_frames_full/E00223_00h51m16s600ms_abrupt_change.jpg,,,chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00223_00h51m16s600ms_abrupt_change.jpg,,GE01319,CH17,CH17-E0008,event_frames/CH17-E0008_00h51m16s600ms_abrupt_change.jpg,
E00224,3077.0,00:51:17.000,00h51m17s000ms,abrupt_change,76925,1890,"0,0,320,140",0.959152,92.7466,0.959219,92.2766,event_frames_full/E00224_00h51m17s000ms_abrupt_change.jpg,,,chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00224_00h51m17s000ms_abrupt_change.jpg,,GE01320,CH17,CH17-E0009,event_frames/CH17-E0009_00h51m17s000ms_abrupt_change.jpg,
E00225,3077.4,00:51:17.400,00h51m17s400ms,abrupt_change,76935,1892,"0,0,320,140",0.932634,29.0894,0.932634,29.0894,event_frames_full/E00225_00h51m17s400ms_abrupt_change.jpg,,,chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00225_00h51m17s400ms_abrupt_change.jpg,,GE01321,CH17,CH17-E0010,event_frames/CH17-E0010_00h51m17s400ms_abrupt_change.jpg,
E00226,3078.0,00:51:18.000,00h51m18s000ms,stable_change,76950,1895,"32,25,212,100",0.13942,6.6056,0.0,0.013,event_frames_full/E00226_00h51m18s000ms_stable_change.jpg,event_crops/E00226_00h51m18s000ms_stable_change_DETAIL.jpg,"142,120,1322,631",chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00226_00h51m18s000ms_stable_change.jpg,event_chunks_5fps/chunk_04/event_crops/E00226_00h51m18s000ms_stable_change_DETAIL.jpg,GE01322,CH17,CH17-E0011,event_frames/CH17-E0011_00h51m18s000ms_stable_change.jpg,detail_crops/CH17-E0011_00h51m18s000ms_DETAIL.jpg
E00227,3078.8,00:51:18.800,00h51m18s800ms,abrupt_change,76970,1899,"106,76,209,130",0.090625,8.3761,0.090625,8.3654,event_frames_full/E00227_00h51m18s800ms_abrupt_change.jpg,event_crops/E00227_00h51m18s800ms_abrupt_change_DETAIL.jpg,"586,427,1304,811",chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00227_00h51m18s800ms_abrupt_change.jpg,event_chunks_5fps/chunk_04/event_crops/E00227_00h51m18s800ms_abrupt_change_DETAIL.jpg,GE01323,CH17,CH17-E0012,event_frames/CH17-E0012_00h51m18s800ms_abrupt_change.jpg,detail_crops/CH17-E0012_00h51m18s800ms_DETAIL.jpg
E00228,3082.4,00:51:22.400,00h51m22s400ms,settled,77060,1917,"110,76,206,116",0.018772,0.6658,0.0,0.0,event_frames_full/E00228_00h51m22s400ms_settled.jpg,event_crops/E00228_00h51m22s400ms_settled_DETAIL.jpg,"610,427,1286,727",chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00228_00h51m22s400ms_settled.jpg,event_chunks_5fps/chunk_04/event_crops/E00228_00h51m22s400ms_settled_DETAIL.jpg,GE01324,CH17,CH17-E0013,event_frames/CH17-E0013_00h51m22s400ms_settled.jpg,detail_crops/CH17-E0013_00h51m22s400ms_DETAIL.jpg
E00229,3083.4,00:51:23.400,00h51m23s400ms,settled,77085,1922,"137,76,206,111",0.01221,0.4428,0.000558,0.0263,event_frames_full/E00229_00h51m23s400ms_settled.jpg,event_crops/E00229_00h51m23s400ms_settled_DETAIL.jpg,"772,427,1286,697",chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00229_00h51m23s400ms_settled.jpg,event_chunks_5fps/chunk_04/event_crops/E00229_00h51m23s400ms_settled_DETAIL.jpg,GE01325,CH17,CH17-E0014,event_frames/CH17-E0014_00h51m23s400ms_settled.jpg,detail_crops/CH17-E0014_00h51m23s400ms_DETAIL.jpg
E00230,3088.0,00:51:28.000,00h51m28s000ms,settled,77200,1945,"110,87,206,127",0.020022,0.6578,0.0,0.0,event_frames_full/E00230_00h51m28s000ms_settled.jpg,event_crops/E00230_00h51m28s000ms_settled_DETAIL.jpg,"610,493,1286,793",chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00230_00h51m28s000ms_settled.jpg,event_chunks_5fps/chunk_04/event_crops/E00230_00h51m28s000ms_settled_DETAIL.jpg,GE01326,CH17,CH17-E0015,event_frames/CH17-E0015_00h51m28s000ms_settled.jpg,detail_crops/CH17-E0015_00h51m28s000ms_DETAIL.jpg
E00231,3090.2,00:51:30.200,00h51m30s200ms,abrupt_change,77255,1956,"106,76,209,130",0.089174,8.7169,0.08904,8.4649,event_frames_full/E00231_00h51m30s200ms_abrupt_change.jpg,event_crops/E00231_00h51m30s200ms_abrupt_change_DETAIL.jpg,"586,427,1304,811",chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00231_00h51m30s200ms_abrupt_change.jpg,event_chunks_5fps/chunk_04/event_crops/E00231_00h51m30s200ms_abrupt_change_DETAIL.jpg,GE01327,CH17,CH17-E0016,event_frames/CH17-E0016_00h51m30s200ms_abrupt_change.jpg,detail_crops/CH17-E0016_00h51m30s200ms_DETAIL.jpg
E00232,3092.0,00:51:32.000,00h51m32s000ms,abrupt_change,77300,1965,"0,0,320,140",0.961719,66.6136,0.961719,66.5827,event_frames_full/E00232_00h51m32s000ms_abrupt_change.jpg,,,chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00232_00h51m32s000ms_abrupt_change.jpg,,GE01328,CH17,CH17-E0017,event_frames/CH17-E0017_00h51m32s000ms_abrupt_change.jpg,
E00233,3092.6,00:51:32.600,00h51m32s600ms,abrupt_change,77315,1968,"0,0,320,140",0.961719,66.5158,0.961719,66.5158,event_frames_full/E00233_00h51m32s600ms_abrupt_change.jpg,,,chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00233_00h51m32s600ms_abrupt_change.jpg,,GE01329,CH17,CH17-E0018,event_frames/CH17-E0018_00h51m32s600ms_abrupt_change.jpg,
E00234,3093.0,00:51:33.000,00h51m33s000ms,abrupt_change,77325,1970,"0,0,320,140",0.888616,106.0173,0.888616,106.0173,event_frames_full/E00234_00h51m33s000ms_abrupt_change.jpg,,,chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00234_00h51m33s000ms_abrupt_change.jpg,,GE01330,CH17,CH17-E0019,event_frames/CH17-E0019_00h51m33s000ms_abrupt_change.jpg,
E00235,3093.8,00:51:33.800,00h51m33s800ms,abrupt_change,77345,1974,"27,12,320,140",0.165424,8.2926,0.165156,8.2762,event_frames_full/E00235_00h51m33s800ms_abrupt_change.jpg,,,chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00235_00h51m33s800ms_abrupt_change.jpg,,GE01331,CH17,CH17-E0020,event_frames/CH17-E0020_00h51m33s800ms_abrupt_change.jpg,
E00236,3094.4,00:51:34.400,00h51m34s400ms,abrupt_change,77360,1977,"28,12,320,137",0.155089,7.7327,0.154353,7.771,event_frames_full/E00236_00h51m34s400ms_abrupt_change.jpg,,,chunk_04,event_chunks_5fps/chunk_04/event_frames_full/E00236_00h51m34s400ms_abrupt_change.jpg,,GE01332,CH17,CH17-E0021,event_frames/CH17-E0021_00h51m34s400ms_abrupt_change.jpg,
