chapter_event_id,timestamp,frame_path,detail_crop_path,screen_or_module,visible_change,controls_or_data,possible_functionality,classification,confidence,current_platform_status,platform_evidence,notes
CH02-E0001,00:01:51.000,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0001_00h01m51s000ms_abrupt_change.jpg,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/detail_crops/CH02-E0001_00h01m51s000ms_DETAIL.jpg,Autenticación,"Login con usuario escrito y foco en Clave","Usuario; Clave; acceso; instalación; recuperación",Captura de credenciales,VISIBLE,alta,,,"No se conserva la credencial mostrada."
CH02-E0002,00:01:56.800,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0002_00h01m56s800ms_settled.jpg,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/detail_crops/CH02-E0002_00h01m56s800ms_DETAIL.jpg,Autenticación,"Clave enmascarada y acceso enfocado","Clave oculta; Iniciar sesión",Enviar login,VISIBLE,alta,,,"No demuestra errores ni almacenamiento de clave."
CH02-E0003,00:01:57.400,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0003_00h01m57s400ms_abrupt_change.jpg,,Dashboard,"El login da paso al dashboard","Seis indicadores; navegación; perfil",Acceso autenticado,VISIBLE,alta,,,"Éxito solo para el usuario observado."
CH02-E0004,00:01:57.800,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0004_00h01m57s800ms_abrupt_change.jpg,,Dashboard,"El menú lateral se colapsa a iconos","Hamburguesa; iconos",Alternar navegación,VISIBLE,alta,,,"No prueba persistencia."
CH02-E0005,00:02:05.200,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0005_00h02m05s200ms_abrupt_change.jpg,,Pacientes,"Aparece la estructura inicial de Pacientes","Tres pestañas; Excel; + Nuevo; tabla",Administrar pacientes,VISIBLE,alta,,,"El cuerpo aún está vacío."
CH02-E0006,00:02:05.800,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0006_00h02m05s800ms_abrupt_change.jpg,,Pacientes,"Cargando... y No hay registros aparecen juntos","Registros; búsqueda; paginación",Estado de carga,VISIBLE,alta,,,"Inconsistencia visual de carga/vacío."
CH02-E0007,00:02:06.400,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0007_00h02m06s400ms_stable_change.jpg,,Pacientes,"Continúa la carga con selector mostrando 1","Registros; Cargando...",Carga paginada,VISIBLE,alta,,,"No se toma 1 como regla."
CH02-E0008,00:02:07.000,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0008_00h02m07s000ms_stable_change.jpg,,Pacientes,"La tabla se llena y muestra tres páginas","Documento; nombre; edad; empresa; triage; notificación; estado",Listado activo,VISIBLE,alta,,,"No se copian datos de personas."
CH02-E0009,00:02:17.000,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0009_00h02m17s000ms_abrupt_change.jpg,,Paciente nuevo,"Se abre Paciente nuevo","Datos del paciente; seguro; obligatorios",Alta de paciente,VISIBLE,alta,,,"No hay envío ni alta confirmada."
CH02-E0010,00:02:17.400,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0010_00h02m17s400ms_abrupt_change.jpg,,Paciente nuevo,"El formulario queda con menú colapsado","Campos personales; opt-in",Formulario extenso,VISIBLE,alta,,,"Cambio de disposición."
CH02-E0011,00:02:17.800,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0011_00h02m17s800ms_abrupt_change.jpg,,Datos del paciente,"Teléfono celular muestra país y ejemplo","Prefijo internacional; teléfono obligatorio",Teléfono internacional,VISIBLE,alta,,,"El ejemplo no valida formato."
CH02-E0012,00:02:23.400,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0012_00h02m23s400ms_motion_progress.jpg,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/detail_crops/CH02-E0012_00h02m23s400ms_DETAIL.jpg,Datos del paciente,"Se abre Tipo de documento","Cédula; Pasaporte; búsqueda",Elegir documento,VISIBLE,alta,,,"Solo se confirman dos opciones."
CH02-E0013,00:02:25.000,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0013_00h02m25s000ms_settled.jpg,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/detail_crops/CH02-E0013_00h02m25s000ms_DETAIL.jpg,Datos del paciente,"Cédula queda seleccionada","Tipo de documento; teléfono",Valores iniciales,VISIBLE,alta,,,"No prueba validación documental."
CH02-E0014,00:02:36.600,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0014_00h02m36s600ms_settled.jpg,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/detail_crops/CH02-E0014_00h02m36s600ms_DETAIL.jpg,Datos del paciente,"Se abre calendario de nacimiento","Mes; año; días; Cancelar; Seleccionar",Elegir fecha,VISIBLE,alta,,,"No se infiere rango de edad."
CH02-E0015,00:02:40.000,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0015_00h02m40s000ms_settled.jpg,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/detail_crops/CH02-E0015_00h02m40s000ms_DETAIL.jpg,Datos del paciente,"Fecha queda en formato AAAA-MM-DD","Nacimiento obligatorio",Guardar selección,VISIBLE,alta,,,"La fecha concreta es demostrativa."
CH02-E0016,00:02:53.200,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0016_00h02m53s200ms_settled.jpg,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/detail_crops/CH02-E0016_00h02m53s200ms_DETAIL.jpg,Datos del paciente,"Se abre Tipo de sangre","O+, O-, A+, A- y más",Elegir grupo sanguíneo,VISIBLE,alta,,,"Campo no obligatorio visualmente."
CH02-E0017,00:02:54.000,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/event_frames/CH02-E0017_00h02m54s000ms_stable_change.jpg,references/video-audit/chapters/CH02_alta_y_edicion_de_pacientes/detail_crops/CH02-E0017_00h02m54s000ms_DETAIL.jpg,Datos del paciente,"La lista baja a B+, B-, AB+, AB-","Opciones sanguíneas inferiores",Desplazar selector,VISIBLE,alta,,,"Se observan ocho grupos comunes."
