chapter_event_id,timestamp,frame_path,detail_crop_path,screen_or_module,visible_change,controls_or_data,possible_functionality,classification,confidence,current_platform_status,platform_evidence,notes
CH04-E0001,00:06:15.200,references/video-audit/chapters/CH04_cotizacion_datos_generales/event_frames/CH04-E0001_00h06m15s200ms_motion_progress.jpg,references/video-audit/chapters/CH04_cotizacion_datos_generales/detail_crops/CH04-E0001_00h06m15s200ms_DETAIL.jpg,,,,,,,,,
CH04-E0002,00:06:18.200,references/video-audit/chapters/CH04_cotizacion_datos_generales/event_frames/CH04-E0002_00h06m18s200ms_motion_progress.jpg,references/video-audit/chapters/CH04_cotizacion_datos_generales/detail_crops/CH04-E0002_00h06m18s200ms_DETAIL.jpg,,,,,,,,,
CH04-E0003,00:06:18.800,references/video-audit/chapters/CH04_cotizacion_datos_generales/event_frames/CH04-E0003_00h06m18s800ms_stable_change.jpg,references/video-audit/chapters/CH04_cotizacion_datos_generales/detail_crops/CH04-E0003_00h06m18s800ms_DETAIL.jpg,,,,,,,,,
CH04-E0004,00:06:21.200,references/video-audit/chapters/CH04_cotizacion_datos_generales/event_frames/CH04-E0004_00h06m21s200ms_motion_progress.jpg,references/video-audit/chapters/CH04_cotizacion_datos_generales/detail_crops/CH04-E0004_00h06m21s200ms_DETAIL.jpg,,,,,,,,,
CH04-E0005,00:06:21.800,references/video-audit/chapters/CH04_cotizacion_datos_generales/event_frames/CH04-E0005_00h06m21s800ms_stable_change.jpg,references/video-audit/chapters/CH04_cotizacion_datos_generales/detail_crops/CH04-E0005_00h06m21s800ms_DETAIL.jpg,,,,,,,,,
CH04-E0006,00:06:27.600,references/video-audit/chapters/CH04_cotizacion_datos_generales/event_frames/CH04-E0006_00h06m27s600ms_abrupt_change.jpg,,,,,,,,,,
CH04-E0007,00:06:30.600,references/video-audit/chapters/CH04_cotizacion_datos_generales/event_frames/CH04-E0007_00h06m30s600ms_settled.jpg,references/video-audit/chapters/CH04_cotizacion_datos_generales/detail_crops/CH04-E0007_00h06m30s600ms_DETAIL.jpg,,,,,,,,,
CH04-E0008,00:06:33.000,references/video-audit/chapters/CH04_cotizacion_datos_generales/event_frames/CH04-E0008_00h06m33s000ms_settled.jpg,references/video-audit/chapters/CH04_cotizacion_datos_generales/detail_crops/CH04-E0008_00h06m33s000ms_DETAIL.jpg,,,,,,,,,
CH04-E0009,00:06:34.800,references/video-audit/chapters/CH04_cotizacion_datos_generales/event_frames/CH04-E0009_00h06m34s800ms_abrupt_change.jpg,references/video-audit/chapters/CH04_cotizacion_datos_generales/detail_crops/CH04-E0009_00h06m34s800ms_DETAIL.jpg,,,,,,,,,
CH04-E0010,00:06:35.800,references/video-audit/chapters/CH04_cotizacion_datos_generales/event_frames/CH04-E0010_00h06m35s800ms_abrupt_change.jpg,references/video-audit/chapters/CH04_cotizacion_datos_generales/detail_crops/CH04-E0010_00h06m35s800ms_DETAIL.jpg,,,,,,,,,
CH04-E0011,00:06:36.400,references/video-audit/chapters/CH04_cotizacion_datos_generales/event_frames/CH04-E0011_00h06m36s400ms_abrupt_change.jpg,references/video-audit/chapters/CH04_cotizacion_datos_generales/detail_crops/CH04-E0011_00h06m36s400ms_DETAIL.jpg,,,,,,,,,
