chapter_event_id,timestamp,frame_path,detail_crop_path,screen_or_module,visible_change,controls_or_data,possible_functionality,classification,confidence,current_platform_status,platform_evidence,notes
CH05-E0001,00:07:32.200,references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/event_frames/CH05-E0001_00h07m32s200ms_abrupt_change.jpg,,,,,,,,,,
CH05-E0002,00:07:32.600,references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/event_frames/CH05-E0002_00h07m32s600ms_abrupt_change.jpg,,,,,,,,,,
CH05-E0003,00:07:49.400,references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/event_frames/CH05-E0003_00h07m49s400ms_motion_progress.jpg,references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/detail_crops/CH05-E0003_00h07m49s400ms_DETAIL.jpg,,,,,,,,,
CH05-E0004,00:07:51.600,references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/event_frames/CH05-E0004_00h07m51s600ms_motion_progress.jpg,references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/detail_crops/CH05-E0004_00h07m51s600ms_DETAIL.jpg,,,,,,,,,
CH05-E0005,00:07:54.000,references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/event_frames/CH05-E0005_00h07m54s000ms_motion_progress.jpg,references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/detail_crops/CH05-E0005_00h07m54s000ms_DETAIL.jpg,,,,,,,,,
CH05-E0006,00:07:55.000,references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/event_frames/CH05-E0006_00h07m55s000ms_abrupt_change.jpg,references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/detail_crops/CH05-E0006_00h07m55s000ms_DETAIL.jpg,,,,,,,,,
CH05-E0007,00:07:55.400,references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/event_frames/CH05-E0007_00h07m55s400ms_abrupt_change.jpg,references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/detail_crops/CH05-E0007_00h07m55s400ms_DETAIL.jpg,,,,,,,,,
CH05-E0008,00:07:56.400,references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/event_frames/CH05-E0008_00h07m56s400ms_stable_change.jpg,references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/detail_crops/CH05-E0008_00h07m56s400ms_DETAIL.jpg,,,,,,,,,
CH05-E0009,00:07:57.200,references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/event_frames/CH05-E0009_00h07m57s200ms_stable_change.jpg,references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/detail_crops/CH05-E0009_00h07m57s200ms_DETAIL.jpg,,,,,,,,,
CH05-E0010,00:07:58.000,references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/event_frames/CH05-E0010_00h07m58s000ms_stable_change.jpg,references/video-audit/chapters/CH05_cotizacion_servicios_estudios_y_medicamentos/detail_crops/CH05-E0010_00h07m58s000ms_DETAIL.jpg,,,,,,,,,
