"chapter_event_id","timestamp","frame_path","detail_crop_path","screen_or_module","visible_change","controls_or_data","possible_functionality","classification","confidence","current_platform_status","platform_evidence","notes"
"CH10-E0001","00:27:20.400","references/video-audit/chapters/CH10_orden_medica_tratamientos_y_tarjeta_de_medicamentos/event_frames/CH10-E0001_00h27m20s400ms_stable_change.jpg","","Reporte de salud · solape inicial","Se conserva en pantalla el listado de Reporte de salud durante el solape inicial del capítulo.","Registros, Cédula, Nombre, Empresa, Hospitalización, Periodo, Auditoría, Triage, Estatus","Estado de borde entre capítulos; no se atribuye al módulo principal de este capítulo.","VISIBLE","HIGH","NOT_TESTABLE","Auditoría de evidencia fuente; comparación de plataforma reservada para la matriz consolidada.","Frame individual y recorte indicado abiertos; trazabilidad validada contra manifiestos CSV/JSON y transcripciones TXT/SRT. La observación describe únicamente el estado visible."
"CH10-E0002","00:27:28.800","references/video-audit/chapters/CH10_orden_medica_tratamientos_y_tarjeta_de_medicamentos/event_frames/CH10-E0002_00h27m28s800ms_settled.jpg","references/video-audit/chapters/CH10_orden_medica_tratamientos_y_tarjeta_de_medicamentos/detail_crops/CH10-E0002_00h27m28s800ms_DETAIL.jpg","Reporte de salud · solape inicial","Se conserva en pantalla el listado de Reporte de salud durante el solape inicial del capítulo.","Registros, Cédula, Nombre, Empresa, Hospitalización, Periodo, Auditoría, Triage, Estatus","Estado de borde entre capítulos; no se atribuye al módulo principal de este capítulo.","VISIBLE","HIGH","NOT_TESTABLE","Auditoría de evidencia fuente; comparación de plataforma reservada para la matriz consolidada.","Frame individual y recorte indicado abiertos; trazabilidad validada contra manifiestos CSV/JSON y transcripciones TXT/SRT. La observación describe únicamente el estado visible."
"CH10-E0003","00:27:31.000","references/video-audit/chapters/CH10_orden_medica_tratamientos_y_tarjeta_de_medicamentos/event_frames/CH10-E0003_00h27m31s000ms_settled.jpg","references/video-audit/chapters/CH10_orden_medica_tratamientos_y_tarjeta_de_medicamentos/detail_crops/CH10-E0003_00h27m31s000ms_DETAIL.jpg","Reporte de salud · solape inicial","Se conserva en pantalla el listado de Reporte de salud durante el solape inicial del capítulo.","Registros, Cédula, Nombre, Empresa, Hospitalización, Periodo, Auditoría, Triage, Estatus","Estado de borde entre capítulos; no se atribuye al módulo principal de este capítulo.","VISIBLE","HIGH","NOT_TESTABLE","Auditoría de evidencia fuente; comparación de plataforma reservada para la matriz consolidada.","Frame individual y recorte indicado abiertos; trazabilidad validada contra manifiestos CSV/JSON y transcripciones TXT/SRT. La observación describe únicamente el estado visible."
"CH10-E0004","00:27:35.400","references/video-audit/chapters/CH10_orden_medica_tratamientos_y_tarjeta_de_medicamentos/event_frames/CH10-E0004_00h27m35s400ms_abrupt_change.jpg","","Orden Médica · listado","Aparece la pantalla Orden Médica con sus pestañas y la tabla todavía vacía.","Activos, Inactivos, Tratamientos con cambios, Actualizaciones, Nombre, Cédula, Fecha Nac., Triage, Hospitalización, Estatus","Estado visual del flujo documentado por el evento.","VISIBLE","HIGH","NOT_TESTABLE","Auditoría de evidencia fuente; comparación de plataforma reservada para la matriz consolidada.","Frame individual y recorte indicado abiertos; trazabilidad validada contra manifiestos CSV/JSON y transcripciones TXT/SRT. La observación describe únicamente el estado visible."
"CH10-E0005","00:27:35.800","references/video-audit/chapters/CH10_orden_medica_tratamientos_y_tarjeta_de_medicamentos/event_frames/CH10-E0005_00h27m35s800ms_abrupt_change.jpg","references/video-audit/chapters/CH10_orden_medica_tratamientos_y_tarjeta_de_medicamentos/detail_crops/CH10-E0005_00h27m35s800ms_DETAIL.jpg","Orden Médica · listado","Orden Médica muestra el indicador de carga centrado debajo de la tabla.","Indicador de carga, cabeceras de la tabla","Estado visual del flujo documentado por el evento.","VISIBLE","HIGH","NOT_TESTABLE","Auditoría de evidencia fuente; comparación de plataforma reservada para la matriz consolidada.","Frame individual y recorte indicado abiertos; trazabilidad validada contra manifiestos CSV/JSON y transcripciones TXT/SRT. La observación describe únicamente el estado visible."
"CH10-E0006","00:27:36.400","references/video-audit/chapters/CH10_orden_medica_tratamientos_y_tarjeta_de_medicamentos/event_frames/CH10-E0006_00h27m36s400ms_abrupt_change.jpg","references/video-audit/chapters/CH10_orden_medica_tratamientos_y_tarjeta_de_medicamentos/detail_crops/CH10-E0006_00h27m36s400ms_DETAIL.jpg","Orden Médica · listado","La tabla de Orden Médica queda sin filas mientras mantiene visibles sus columnas.","Nombre, Cédula, Fecha Nac., Triage, Hospitalización, Estatus","Estado visual del flujo documentado por el evento.","VISIBLE","HIGH","NOT_TESTABLE","Auditoría de evidencia fuente; comparación de plataforma reservada para la matriz consolidada.","Frame individual y recorte indicado abiertos; trazabilidad validada contra manifiestos CSV/JSON y transcripciones TXT/SRT. La observación describe únicamente el estado visible."
"CH10-E0007","00:27:37.000","references/video-audit/chapters/CH10_orden_medica_tratamientos_y_tarjeta_de_medicamentos/event_frames/CH10-E0007_00h27m37s000ms_stable_change.jpg","references/video-audit/chapters/CH10_orden_medica_tratamientos_y_tarjeta_de_medicamentos/detail_crops/CH10-E0007_00h27m37s000ms_DETAIL.jpg","Orden Médica · listado","El listado de Orden Médica presenta el estado Cargando y el mensaje de ausencia temporal de registros.","Cargando, No hay registros disponibles, Anterior, Siguiente","Estado visual del flujo documentado por el evento.","VISIBLE","HIGH","NOT_TESTABLE","Auditoría de evidencia fuente; comparación de plataforma reservada para la matriz consolidada.","Frame individual y recorte indicado abiertos; trazabilidad validada contra manifiestos CSV/JSON y transcripciones TXT/SRT. La observación describe únicamente el estado visible."
"CH10-E0008","00:27:37.600","references/video-audit/chapters/CH10_orden_medica_tratamientos_y_tarjeta_de_medicamentos/event_frames/CH10-E0008_00h27m37s600ms_stable_change.jpg","","Orden Médica · listado","El listado termina de cargar y muestra pacientes con triage y hospitalización.","Registros, Nombre, Cédula, Fecha Nac., Triage, Hospitalización, Estatus","Estado visual del flujo documentado por el evento.","VISIBLE","HIGH","NOT_TESTABLE","Auditoría de evidencia fuente; comparación de plataforma reservada para la matriz consolidada.","Frame individual y recorte indicado abiertos; trazabilidad validada contra manifiestos CSV/JSON y transcripciones TXT/SRT. La observación describe únicamente el estado visible."
"CH10-E0009","00:27:42.200","references/video-audit/chapters/CH10_orden_medica_tratamientos_y_tarjeta_de_medicamentos/event_frames/CH10-E0009_00h27m42s200ms_settled.jpg","references/video-audit/chapters/CH10_orden_medica_tratamientos_y_tarjeta_de_medicamentos/detail_crops/CH10-E0009_00h27m42s200ms_DETAIL.jpg","Orden Médica · listado","Se abre el menú de acciones de una fila del listado de Orden Médica.","Nuevo, Ver Órdenes, Registro XPO","Estado visual del flujo documentado por el evento.","VISIBLE","HIGH","NOT_TESTABLE","Auditoría de evidencia fuente; comparación de plataforma reservada para la matriz consolidada.","Frame individual y recorte indicado abiertos; trazabilidad validada contra manifiestos CSV/JSON y transcripciones TXT/SRT. La observación describe únicamente el estado visible."
"CH10-E0010","00:27:43.400","references/video-audit/chapters/CH10_orden_medica_tratamientos_y_tarjeta_de_medicamentos/event_frames/CH10-E0010_00h27m43s400ms_abrupt_change.jpg","","Orden Médica · listado","El listado permanece visible tras la interacción con el menú de la fila.","Tabla de pacientes, paginación, búsqueda","Estado visual del flujo documentado por el evento.","VISIBLE","HIGH","NOT_TESTABLE","Auditoría de evidencia fuente; comparación de plataforma reservada para la matriz consolidada.","Frame individual y recorte indicado abiertos; trazabilidad validada contra manifiestos CSV/JSON y transcripciones TXT/SRT. La observación describe únicamente el estado visible."
"CH10-E0011","00:27:43.800","references/video-audit/chapters/CH10_orden_medica_tratamientos_y_tarjeta_de_medicamentos/event_frames/CH10-E0011_00h27m43s800ms_abrupt_change.jpg","","Orden Médica · selector de creación","El diálogo de creación ofrece elegir entre Orden Médica y Tarjeta de medicamentos.","Orden Médica, Tarjeta de medicamentos, Cerrar","Elección visible del tipo de documento que inicia su formulario.","VISIBLE","HIGH","NOT_TESTABLE","Auditoría de evidencia fuente; comparación de plataforma reservada para la matriz consolidada.","Frame individual y recorte indicado abiertos; trazabilidad validada contra manifiestos CSV/JSON y transcripciones TXT/SRT. La observación describe únicamente el estado visible."
