chapter_event_id,timestamp,frame_path,detail_crop_path,screen_or_module,visible_change,controls_or_data,possible_functionality,classification,confidence,current_platform_status,platform_evidence,notes
CH11-E0001,00:31:40.400,references/video-audit/chapters/CH11_agenda_y_turnos/event_frames/CH11-E0001_00h31m40s400ms_abrupt_change.jpg,,,,,,,,,,
CH11-E0002,00:31:41.400,references/video-audit/chapters/CH11_agenda_y_turnos/event_frames/CH11-E0002_00h31m41s400ms_settled.jpg,references/video-audit/chapters/CH11_agenda_y_turnos/detail_crops/CH11-E0002_00h31m41s400ms_DETAIL.jpg,,,,,,,,,
CH11-E0003,00:31:42.000,references/video-audit/chapters/CH11_agenda_y_turnos/event_frames/CH11-E0003_00h31m42s000ms_abrupt_change.jpg,,,,,,,,,,
CH11-E0004,00:31:42.600,references/video-audit/chapters/CH11_agenda_y_turnos/event_frames/CH11-E0004_00h31m42s600ms_settled.jpg,references/video-audit/chapters/CH11_agenda_y_turnos/detail_crops/CH11-E0004_00h31m42s600ms_DETAIL.jpg,,,,,,,,,
CH11-E0005,00:31:46.000,references/video-audit/chapters/CH11_agenda_y_turnos/event_frames/CH11-E0005_00h31m46s000ms_abrupt_change.jpg,,,,,,,,,,
CH11-E0006,00:31:46.400,references/video-audit/chapters/CH11_agenda_y_turnos/event_frames/CH11-E0006_00h31m46s400ms_abrupt_change.jpg,,,,,,,,,,
CH11-E0007,00:31:47.000,references/video-audit/chapters/CH11_agenda_y_turnos/event_frames/CH11-E0007_00h31m47s000ms_stable_change.jpg,references/video-audit/chapters/CH11_agenda_y_turnos/detail_crops/CH11-E0007_00h31m47s000ms_DETAIL.jpg,,,,,,,,,
CH11-E0008,00:31:47.400,references/video-audit/chapters/CH11_agenda_y_turnos/event_frames/CH11-E0008_00h31m47s400ms_abrupt_change.jpg,,,,,,,,,,
CH11-E0009,00:31:49.800,references/video-audit/chapters/CH11_agenda_y_turnos/event_frames/CH11-E0009_00h31m49s800ms_abrupt_change.jpg,,,,,,,,,,
CH11-E0010,00:31:50.200,references/video-audit/chapters/CH11_agenda_y_turnos/event_frames/CH11-E0010_00h31m50s200ms_abrupt_change.jpg,references/video-audit/chapters/CH11_agenda_y_turnos/detail_crops/CH11-E0010_00h31m50s200ms_DETAIL.jpg,,,,,,,,,
CH11-E0011,00:31:50.800,references/video-audit/chapters/CH11_agenda_y_turnos/event_frames/CH11-E0011_00h31m50s800ms_abrupt_change.jpg,,,,,,,,,,
CH11-E0012,00:31:52.600,references/video-audit/chapters/CH11_agenda_y_turnos/event_frames/CH11-E0012_00h31m52s600ms_abrupt_change.jpg,references/video-audit/chapters/CH11_agenda_y_turnos/detail_crops/CH11-E0012_00h31m52s600ms_DETAIL.jpg,,,,,,,,,
CH11-E0013,00:31:54.600,references/video-audit/chapters/CH11_agenda_y_turnos/event_frames/CH11-E0013_00h31m54s600ms_abrupt_change.jpg,references/video-audit/chapters/CH11_agenda_y_turnos/detail_crops/CH11-E0013_00h31m54s600ms_DETAIL.jpg,,,,,,,,,
CH11-E0014,00:31:55.000,references/video-audit/chapters/CH11_agenda_y_turnos/event_frames/CH11-E0014_00h31m55s000ms_abrupt_change.jpg,,,,,,,,,,
CH11-E0015,00:31:55.600,references/video-audit/chapters/CH11_agenda_y_turnos/event_frames/CH11-E0015_00h31m55s600ms_stable_change.jpg,,,,,,,,,,
CH11-E0016,00:31:56.000,references/video-audit/chapters/CH11_agenda_y_turnos/event_frames/CH11-E0016_00h31m56s000ms_abrupt_change.jpg,,,,,,,,,,
CH11-E0017,00:31:57.400,references/video-audit/chapters/CH11_agenda_y_turnos/event_frames/CH11-E0017_00h31m57s400ms_settled.jpg,,,,,,,,,,
