chapter_event_id,timestamp,frame_path,detail_crop_path,screen_or_module,visible_change,controls_or_data,possible_functionality,classification,confidence,current_platform_status,platform_evidence,notes
CH13-E0001,00:36:45.000,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0001_00h36m45s000ms_abrupt_change.jpg,,,,,,,,,,
CH13-E0002,00:36:45.400,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0002_00h36m45s400ms_abrupt_change.jpg,,,,,,,,,,
CH13-E0003,00:36:45.800,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0003_00h36m45s800ms_abrupt_change.jpg,,,,,,,,,,
CH13-E0004,00:36:46.400,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0004_00h36m46s400ms_abrupt_change.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0004_00h36m46s400ms_DETAIL.jpg,,,,,,,,,
CH13-E0005,00:36:50.000,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0005_00h36m50s000ms_abrupt_change.jpg,,,,,,,,,,
CH13-E0006,00:36:50.400,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0006_00h36m50s400ms_abrupt_change.jpg,,,,,,,,,,
CH13-E0007,00:36:54.400,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0007_00h36m54s400ms_abrupt_change.jpg,,,,,,,,,,
CH13-E0008,00:36:54.800,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0008_00h36m54s800ms_abrupt_change.jpg,,,,,,,,,,
CH13-E0009,00:36:59.200,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0009_00h36m59s200ms_abrupt_change.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0009_00h36m59s200ms_DETAIL.jpg,,,,,,,,,
CH13-E0010,00:36:59.600,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0010_00h36m59s600ms_abrupt_change.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0010_00h36m59s600ms_DETAIL.jpg,,,,,,,,,
CH13-E0011,00:37:01.400,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0011_00h37m01s400ms_abrupt_change.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0011_00h37m01s400ms_DETAIL.jpg,,,,,,,,,
CH13-E0012,00:37:02.000,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0012_00h37m02s000ms_stable_change.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0012_00h37m02s000ms_DETAIL.jpg,,,,,,,,,
CH13-E0013,00:37:03.000,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0013_00h37m03s000ms_abrupt_change.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0013_00h37m03s000ms_DETAIL.jpg,,,,,,,,,
CH13-E0014,00:37:07.200,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0014_00h37m07s200ms_abrupt_change.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0014_00h37m07s200ms_DETAIL.jpg,,,,,,,,,
CH13-E0015,00:37:08.800,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/event_frames/CH13-E0015_00h37m08s800ms_abrupt_change.jpg,references/video-audit/chapters/CH13_compras_y_compras_al_por_mayor/detail_crops/CH13-E0015_00h37m08s800ms_DETAIL.jpg,,,,,,,,,
