chapter_event_id,timestamp,frame_path,detail_crop_path,screen_or_module,visible_change,controls_or_data,possible_functionality,classification,confidence,current_platform_status,platform_evidence,notes
CH14-E0001,00:39:55.600,references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/event_frames/CH14-E0001_00h39m55s600ms_settled.jpg,references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/detail_crops/CH14-E0001_00h39m55s600ms_DETAIL.jpg,Compras,"CH14-E0001 @ 00:39:55.600: La tabla de Compras sigue visible y el submenú de inventario muestra Gestión de inventario, Conteos, Acuses, Cierres, Kit de insumos, Proveedores, Bodegas y Lotes / Series.",Compras; Gestión de inventario; Conteos; Acuses; Cierres; Kit de insumos; Proveedores; Bodegas; Lotes / Series,"La tabla de Compras sigue visible y el submenú de inventario muestra Gestión de inventario, Conteos, Acuses, Cierres, Kit de insumos, Proveedores, Bodegas y Lotes / Series.",VISIBLE,HIGH,NOT_TESTABLE,Auditoría de evidencia fuente; la comparación funcional de la plataforma corresponde al hilo principal.,Evento localizado una sola vez en las hojas de contacto y contrastado con references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/event_frames/CH14-E0001_00h39m55s600ms_settled.jpg; el recorte asociado references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/detail_crops/CH14-E0001_00h39m55s600ms_DETAIL.jpg se abrió para comprobar el detalle.
CH14-E0002,00:39:57.000,references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/event_frames/CH14-E0002_00h39m57s000ms_abrupt_change.jpg,,Gestión de inventario / Items,"CH14-E0002 @ 00:39:57.000: Se abre Gestión de inventario con pestañas Items, Movimientos, Comprometido y Lotes; la tabla pasa por estado vacío y Procesando antes de cargar.",Items; Movimientos; Comprometido; Lotes; Bodega; Excel; Traslados; Procesando,"Se abre Gestión de inventario con pestañas Items, Movimientos, Comprometido y Lotes; la tabla pasa por estado vacío y Procesando antes de cargar.",VISIBLE,HIGH,NOT_TESTABLE,Auditoría de evidencia fuente; la comparación funcional de la plataforma corresponde al hilo principal.,Evento localizado una sola vez en las hojas de contacto y contrastado con references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/event_frames/CH14-E0002_00h39m57s000ms_abrupt_change.jpg.
CH14-E0003,00:39:57.400,references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/event_frames/CH14-E0003_00h39m57s400ms_abrupt_change.jpg,references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/detail_crops/CH14-E0003_00h39m57s400ms_DETAIL.jpg,Gestión de inventario / Items,"CH14-E0003 @ 00:39:57.400: Se abre Gestión de inventario con pestañas Items, Movimientos, Comprometido y Lotes; la tabla pasa por estado vacío y Procesando antes de cargar.",Items; Movimientos; Comprometido; Lotes; Bodega; Excel; Traslados; Procesando,"Se abre Gestión de inventario con pestañas Items, Movimientos, Comprometido y Lotes; la tabla pasa por estado vacío y Procesando antes de cargar.",VISIBLE,HIGH,NOT_TESTABLE,Auditoría de evidencia fuente; la comparación funcional de la plataforma corresponde al hilo principal.,Evento localizado una sola vez en las hojas de contacto y contrastado con references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/event_frames/CH14-E0003_00h39m57s400ms_abrupt_change.jpg; el recorte asociado references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/detail_crops/CH14-E0003_00h39m57s400ms_DETAIL.jpg se abrió para comprobar el detalle.
CH14-E0004,00:39:58.200,references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/event_frames/CH14-E0004_00h39m58s200ms_stable_change.jpg,,Gestión de inventario / Items,"CH14-E0004 @ 00:39:58.200: Se abre Gestión de inventario con pestañas Items, Movimientos, Comprometido y Lotes; la tabla pasa por estado vacío y Procesando antes de cargar.",Items; Movimientos; Comprometido; Lotes; Bodega; Excel; Traslados; Procesando,"Se abre Gestión de inventario con pestañas Items, Movimientos, Comprometido y Lotes; la tabla pasa por estado vacío y Procesando antes de cargar.",VISIBLE,HIGH,NOT_TESTABLE,Auditoría de evidencia fuente; la comparación funcional de la plataforma corresponde al hilo principal.,Evento localizado una sola vez en las hojas de contacto y contrastado con references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/event_frames/CH14-E0004_00h39m58s200ms_stable_change.jpg.
CH14-E0005,00:39:59.200,references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/event_frames/CH14-E0005_00h39m59s200ms_abrupt_change.jpg,,Gestión de inventario / Items,"CH14-E0005 @ 00:39:59.200: La tabla de items muestra Tipo, Código, Nombre, Disponible, Comprometido y Total; el filtro de texto reduce la lista a insumos y equipos relacionados con oxígeno.",Bodega: Todos; búsqueda; Tipo; Código; Nombre; Disponible; Comprometido; Total; paginación,"La tabla de items muestra Tipo, Código, Nombre, Disponible, Comprometido y Total; el filtro de texto reduce la lista a insumos y equipos relacionados con oxígeno.",VISIBLE,HIGH,NOT_TESTABLE,Auditoría de evidencia fuente; la comparación funcional de la plataforma corresponde al hilo principal.,Evento localizado una sola vez en las hojas de contacto y contrastado con references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/event_frames/CH14-E0005_00h39m59s200ms_abrupt_change.jpg.
CH14-E0006,00:40:05.400,references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/event_frames/CH14-E0006_00h40m05s400ms_settled.jpg,references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/detail_crops/CH14-E0006_00h40m05s400ms_DETAIL.jpg,Gestión de inventario / Items,"CH14-E0006 @ 00:40:05.400: La tabla de items muestra Tipo, Código, Nombre, Disponible, Comprometido y Total; el filtro de texto reduce la lista a insumos y equipos relacionados con oxígeno.",Bodega: Todos; búsqueda; Tipo; Código; Nombre; Disponible; Comprometido; Total; paginación,"La tabla de items muestra Tipo, Código, Nombre, Disponible, Comprometido y Total; el filtro de texto reduce la lista a insumos y equipos relacionados con oxígeno.",VISIBLE,HIGH,NOT_TESTABLE,Auditoría de evidencia fuente; la comparación funcional de la plataforma corresponde al hilo principal.,Evento localizado una sola vez en las hojas de contacto y contrastado con references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/event_frames/CH14-E0006_00h40m05s400ms_settled.jpg; el recorte asociado references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/detail_crops/CH14-E0006_00h40m05s400ms_DETAIL.jpg se abrió para comprobar el detalle.
CH14-E0007,00:40:09.000,references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/event_frames/CH14-E0007_00h40m09s000ms_motion_progress.jpg,references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/detail_crops/CH14-E0007_00h40m09s000ms_DETAIL.jpg,Gestión de inventario / Items,"CH14-E0007 @ 00:40:09.000: La tabla de items muestra Tipo, Código, Nombre, Disponible, Comprometido y Total; el filtro de texto reduce la lista a insumos y equipos relacionados con oxígeno.",Bodega: Todos; búsqueda; Tipo; Código; Nombre; Disponible; Comprometido; Total; paginación,"La tabla de items muestra Tipo, Código, Nombre, Disponible, Comprometido y Total; el filtro de texto reduce la lista a insumos y equipos relacionados con oxígeno.",VISIBLE,HIGH,NOT_TESTABLE,Auditoría de evidencia fuente; la comparación funcional de la plataforma corresponde al hilo principal.,Evento localizado una sola vez en las hojas de contacto y contrastado con references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/event_frames/CH14-E0007_00h40m09s000ms_motion_progress.jpg; el recorte asociado references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/detail_crops/CH14-E0007_00h40m09s000ms_DETAIL.jpg se abrió para comprobar el detalle.
CH14-E0008,00:40:09.400,references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/event_frames/CH14-E0008_00h40m09s400ms_abrupt_change.jpg,,Gestión de inventario / Items,"CH14-E0008 @ 00:40:09.400: La tabla de items muestra Tipo, Código, Nombre, Disponible, Comprometido y Total; el filtro de texto reduce la lista a insumos y equipos relacionados con oxígeno.",Bodega: Todos; búsqueda; Tipo; Código; Nombre; Disponible; Comprometido; Total; paginación,"La tabla de items muestra Tipo, Código, Nombre, Disponible, Comprometido y Total; el filtro de texto reduce la lista a insumos y equipos relacionados con oxígeno.",VISIBLE,HIGH,NOT_TESTABLE,Auditoría de evidencia fuente; la comparación funcional de la plataforma corresponde al hilo principal.,Evento localizado una sola vez en las hojas de contacto y contrastado con references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/event_frames/CH14-E0008_00h40m09s400ms_abrupt_change.jpg.
CH14-E0009,00:40:10.000,references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/event_frames/CH14-E0009_00h40m10s000ms_stable_change.jpg,references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/detail_crops/CH14-E0009_00h40m10s000ms_DETAIL.jpg,Gestión de inventario / Items,"CH14-E0009 @ 00:40:10.000: La tabla de items muestra Tipo, Código, Nombre, Disponible, Comprometido y Total; el filtro de texto reduce la lista a insumos y equipos relacionados con oxígeno.",Bodega: Todos; búsqueda; Tipo; Código; Nombre; Disponible; Comprometido; Total; paginación,"La tabla de items muestra Tipo, Código, Nombre, Disponible, Comprometido y Total; el filtro de texto reduce la lista a insumos y equipos relacionados con oxígeno.",VISIBLE,HIGH,NOT_TESTABLE,Auditoría de evidencia fuente; la comparación funcional de la plataforma corresponde al hilo principal.,Evento localizado una sola vez en las hojas de contacto y contrastado con references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/event_frames/CH14-E0009_00h40m10s000ms_stable_change.jpg; el recorte asociado references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/detail_crops/CH14-E0009_00h40m10s000ms_DETAIL.jpg se abrió para comprobar el detalle.
CH14-E0010,00:40:10.400,references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/event_frames/CH14-E0010_00h40m10s400ms_abrupt_change.jpg,references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/detail_crops/CH14-E0010_00h40m10s400ms_DETAIL.jpg,Gestión de inventario / Items,"CH14-E0010 @ 00:40:10.400: La tabla de items muestra Tipo, Código, Nombre, Disponible, Comprometido y Total; el filtro de texto reduce la lista a insumos y equipos relacionados con oxígeno.",Bodega: Todos; búsqueda; Tipo; Código; Nombre; Disponible; Comprometido; Total; paginación,"La tabla de items muestra Tipo, Código, Nombre, Disponible, Comprometido y Total; el filtro de texto reduce la lista a insumos y equipos relacionados con oxígeno.",VISIBLE,HIGH,NOT_TESTABLE,Auditoría de evidencia fuente; la comparación funcional de la plataforma corresponde al hilo principal.,Evento localizado una sola vez en las hojas de contacto y contrastado con references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/event_frames/CH14-E0010_00h40m10s400ms_abrupt_change.jpg; el recorte asociado references/video-audit/chapters/CH14_inventario_movimientos_acuses_cierres_bodegas_y_kits/detail_crops/CH14-E0010_00h40m10s400ms_DETAIL.jpg se abrió para comprobar el detalle.
