chapter_event_id,timestamp,frame_path,detail_crop_path,screen_or_module,visible_change,controls_or_data,possible_functionality,classification,confidence,current_platform_status,platform_evidence,notes
CH16-E0001,00:49:45.000,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0001_00h49m45s000ms_settled.jpg,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/detail_crops/CH16-E0001_00h49m45s000ms_DETAIL.jpg,,,,,,,,,
CH16-E0002,00:49:46.200,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0002_00h49m46s200ms_settled.jpg,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/detail_crops/CH16-E0002_00h49m46s200ms_DETAIL.jpg,,,,,,,,,
CH16-E0003,00:49:58.000,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0003_00h49m58s000ms_settled.jpg,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/detail_crops/CH16-E0003_00h49m58s000ms_DETAIL.jpg,,,,,,,,,
CH16-E0004,00:50:00.000,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0004_00h50m00s000ms_abrupt_change.jpg,,,,,,,,,,
CH16-E0005,00:50:00.400,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0005_00h50m00s400ms_abrupt_change.jpg,,,,,,,,,,
CH16-E0006,00:50:01.200,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0006_00h50m01s200ms_settled.jpg,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/detail_crops/CH16-E0006_00h50m01s200ms_DETAIL.jpg,,,,,,,,,
CH16-E0007,00:50:02.400,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0007_00h50m02s400ms_settled.jpg,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/detail_crops/CH16-E0007_00h50m02s400ms_DETAIL.jpg,,,,,,,,,
CH16-E0008,00:50:04.400,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0008_00h50m04s400ms_settled.jpg,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/detail_crops/CH16-E0008_00h50m04s400ms_DETAIL.jpg,,,,,,,,,
CH16-E0009,00:50:10.400,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0009_00h50m10s400ms_abrupt_change.jpg,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/detail_crops/CH16-E0009_00h50m10s400ms_DETAIL.jpg,,,,,,,,,
CH16-E0010,00:50:11.400,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0010_00h50m11s400ms_motion_progress.jpg,,,,,,,,,,
CH16-E0011,00:50:12.000,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0011_00h50m12s000ms_abrupt_change.jpg,,,,,,,,,,
CH16-E0012,00:50:12.600,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0012_00h50m12s600ms_abrupt_change.jpg,,,,,,,,,,
CH16-E0013,00:50:13.800,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0013_00h50m13s800ms_settled.jpg,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/detail_crops/CH16-E0013_00h50m13s800ms_DETAIL.jpg,,,,,,,,,
CH16-E0014,00:50:15.600,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0014_00h50m15s600ms_abrupt_change.jpg,,,,,,,,,,
CH16-E0015,00:50:16.400,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0015_00h50m16s400ms_abrupt_change.jpg,,,,,,,,,,
CH16-E0016,00:50:17.000,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0016_00h50m17s000ms_abrupt_change.jpg,,,,,,,,,,
CH16-E0017,00:50:17.600,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0017_00h50m17s600ms_stable_change.jpg,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/detail_crops/CH16-E0017_00h50m17s600ms_DETAIL.jpg,,,,,,,,,
CH16-E0018,00:50:18.200,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0018_00h50m18s200ms_abrupt_change.jpg,,,,,,,,,,
CH16-E0019,00:50:20.200,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0019_00h50m20s200ms_abrupt_change.jpg,,,,,,,,,,
CH16-E0020,00:50:20.800,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0020_00h50m20s800ms_stable_change.jpg,,,,,,,,,,
CH16-E0021,00:50:21.200,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0021_00h50m21s200ms_abrupt_change.jpg,,,,,,,,,,
CH16-E0022,00:50:21.600,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0022_00h50m21s600ms_abrupt_change.jpg,,,,,,,,,,
CH16-E0023,00:50:22.000,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0023_00h50m22s000ms_abrupt_change.jpg,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/detail_crops/CH16-E0023_00h50m22s000ms_DETAIL.jpg,,,,,,,,,
CH16-E0024,00:50:25.800,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0024_00h50m25s800ms_abrupt_change.jpg,,,,,,,,,,
CH16-E0025,00:50:26.400,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0025_00h50m26s400ms_stable_change.jpg,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/detail_crops/CH16-E0025_00h50m26s400ms_DETAIL.jpg,,,,,,,,,
CH16-E0026,00:50:27.200,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0026_00h50m27s200ms_stable_change.jpg,,,,,,,,,,
CH16-E0027,00:50:35.600,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0027_00h50m35s600ms_motion_progress.jpg,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/detail_crops/CH16-E0027_00h50m35s600ms_DETAIL.jpg,,,,,,,,,
CH16-E0028,00:50:36.800,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0028_00h50m36s800ms_abrupt_change.jpg,,,,,,,,,,
CH16-E0029,00:50:37.600,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0029_00h50m37s600ms_stable_change.jpg,,,,,,,,,,
CH16-E0030,00:50:38.000,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0030_00h50m38s000ms_abrupt_change.jpg,,,,,,,,,,
CH16-E0031,00:50:38.600,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0031_00h50m38s600ms_stable_change.jpg,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/detail_crops/CH16-E0031_00h50m38s600ms_DETAIL.jpg,,,,,,,,,
CH16-E0032,00:50:39.200,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0032_00h50m39s200ms_stable_change.jpg,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/detail_crops/CH16-E0032_00h50m39s200ms_DETAIL.jpg,,,,,,,,,
CH16-E0033,00:50:40.800,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0033_00h50m40s800ms_settled.jpg,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/detail_crops/CH16-E0033_00h50m40s800ms_DETAIL.jpg,,,,,,,,,
CH16-E0034,00:50:41.800,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0034_00h50m41s800ms_abrupt_change.jpg,,,,,,,,,,
CH16-E0035,00:50:42.400,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0035_00h50m42s400ms_stable_change.jpg,,,,,,,,,,
CH16-E0036,00:50:48.000,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0036_00h50m48s000ms_abrupt_change.jpg,,,,,,,,,,
CH16-E0037,00:50:48.400,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0037_00h50m48s400ms_abrupt_change.jpg,,,,,,,,,,
CH16-E0038,00:50:48.800,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0038_00h50m48s800ms_abrupt_change.jpg,,,,,,,,,,
CH16-E0039,00:50:49.400,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0039_00h50m49s400ms_stable_change.jpg,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/detail_crops/CH16-E0039_00h50m49s400ms_DETAIL.jpg,,,,,,,,,
CH16-E0040,00:50:52.200,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0040_00h50m52s200ms_settled.jpg,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/detail_crops/CH16-E0040_00h50m52s200ms_DETAIL.jpg,,,,,,,,,
CH16-E0041,00:50:54.000,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0041_00h50m54s000ms_settled.jpg,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/detail_crops/CH16-E0041_00h50m54s000ms_DETAIL.jpg,,,,,,,,,
CH16-E0042,00:51:06.000,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0042_00h51m06s000ms_abrupt_change.jpg,,,,,,,,,,
CH16-E0043,00:51:06.600,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0043_00h51m06s600ms_abrupt_change.jpg,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/detail_crops/CH16-E0043_00h51m06s600ms_DETAIL.jpg,,,,,,,,,
CH16-E0044,00:51:07.200,references/video-audit/chapters/CH16_descuentos_y_reglas_por_categoria/event_frames/CH16-E0044_00h51m07s200ms_abrupt_change.jpg,,,,,,,,,,
